date,value,transformation
2000-12-31,420520200000.0,level
2001-12-31,498159100000.0,level
2002-12-31,576876600000.0,level
2003-12-31,666015200000.0,level
2004-12-31,822513200000.0,level
2005-12-31,1049146300000.0,level
2006-12-31,1422050600000.0,level
2007-12-31,1744054100000.0,level
2008-12-31,2124974300000.0,level
2009-12-31,2382550800000.0,level
2010-12-31,3001706300000.0,level
2011-12-31,3588238500000.0,level
2012-12-31,3732517100000.0,level
2013-12-31,4352759900000.0,level
2014-12-31,4869370700000.0,level
2015-12-31,5199146500000.0,level
2016-12-31,5009473700000.0,level
2017-12-31,5726334400000.0,level
2018-12-31,6394457400000.0,level
2019-12-31,7372240600000.0,level
2020-12-31,7579915900000.0,level
2021-12-31,8983559300000.0,level
2022-12-31,11092784800000.0,level
2023-12-31,12448870500000.0,level
2024-12-31,14396607800000.0,level
2025-12-31,16924065500000.0,level
