date,value,transformation
2000-12-31,931774600000.0,level
2001-12-31,1167110000000.0,level
2002-12-31,1237247000000.0,level
2003-12-31,1517919000000.0,level
2004-12-31,1955071700000.0,level
2005-12-31,2507682800000.0,level
2006-12-31,3228965600000.0,level
2007-12-31,4433689700000.0,level
2008-12-31,5258583300000.0,level
2009-12-31,5765398700000.0,level
2010-12-31,7492514900000.0,level
2011-12-31,9225682300000.0,level
2012-12-31,10133606000000.0,level
2013-12-31,11060875800000.0,level
2014-12-31,12474013600000.0,level
2015-12-31,13161352400000.0,level
2016-12-31,14253989500000.0,level
2017-12-31,16610443300000.0,level
2018-12-31,18825518400000.0,level
2019-12-31,21199133200000.0,level
2020-12-31,22038361400000.0,level
2021-12-31,26151537800000.0,level
2022-12-31,31556468900000.0,level
2023-12-31,36821377300000.0,level
2024-12-31,42403123300000.0,level
2025-12-31,49384094700000.0,level
