date,value,transformation
2004-12-31,27713.0,level
2005-12-31,63709.0,level
2006-12-31,93567.0,level
2007-12-31,121324.0,level
2008-12-31,185487.0,level
2009-12-31,253746.0,level
2010-12-31,293378.0,level
2011-12-31,324503.0,level
2012-12-31,384065.0,level
2013-12-31,564444.0,level
2014-12-31,584206.0,level
2015-12-31,629700.0,level
2016-12-31,732898.0,level
2017-12-31,742983.0,level
2018-12-31,836457.0,level
2019-12-31,925759.0,level
2020-12-31,969977.0,level
2021-12-31,991865.0,level
2022-12-31,995581.0,level
2023-12-31,1023625.0,level
2024-12-31,1092530.0,level
2025-12-31,1097560.0,level
