date,value,transformation
2023-01-01,100.9,level
2023-02-01,100.9,level
2023-03-01,100.9,level
2023-04-01,100.7,level
2023-05-01,100.7,level
2023-06-01,100.7,level
2023-07-01,100.7,level
2023-08-01,100.5,level
2023-09-01,100.7,level
2023-10-01,100.7,level
2023-11-01,100.5,level
2023-12-01,100.6,level
2024-01-01,100.6,level
2024-02-01,100.7,level
2024-03-01,100.5,level
2024-04-01,100.6,level
2024-05-01,100.4,level
2024-06-01,100.6,level
2024-07-01,100.8,level
2024-08-01,100.6,level
2024-09-01,100.7,level
2024-10-01,100.6,level
2024-11-01,100.5,level
2024-12-01,100.7,level
2025-01-01,101.0,level
2025-02-01,101.1,level
2025-03-01,101.0,level
2025-04-01,101.2,level
2025-05-01,100.9,level
2025-06-01,100.8,level
2025-07-01,100.8,level
2025-08-01,101.2,level
2025-09-01,101.3,level
2025-10-01,101.1,level
2025-11-01,100.8,level
2025-12-01,100.8,level
2026-01-01,101.0,level
2026-02-01,100.9,level
2026-03-01,100.7,level
2026-05-01,100.8,level
2026-06-01,100.8,level
2026-07-01,100.7,level
2026-08-01,100.6,level
