date,value,transformation
2011-01-01,104.7,level
2011-02-01,106.1,level
2011-03-01,105.6,level
2011-04-01,105.2,level
2011-05-01,105.0,level
2011-06-01,105.2,level
2011-07-01,105.5,level
2011-08-01,106.5,level
2011-09-01,106.8,level
2011-10-01,106.4,level
2011-11-01,106.3,level
2011-12-01,106.5,level
2012-01-01,104.0,level
2012-02-01,101.8,level
2012-03-01,101.9,level
2012-04-01,104.1,level
2012-05-01,105.1,level
2012-06-01,105.6,level
2012-07-01,105.5,level
2012-08-01,105.7,level
2012-09-01,106.4,level
2012-10-01,106.9,level
2012-11-01,108.3,level
2012-12-01,109.0,level
2013-01-01,112.8,level
2013-02-01,114.4,level
2013-03-01,115.3,level
2013-04-01,113.9,level
2013-05-01,112.8,level
2013-06-01,113.0,level
2013-07-01,112.7,level
2013-08-01,113.0,level
2013-09-01,111.9,level
2013-10-01,111.0,level
2013-11-01,109.8,level
2013-12-01,109.4,level
2014-01-01,106.7,level
2014-02-01,108.1,level
2014-03-01,107.4,level
2014-04-01,106.8,level
2014-05-01,106.7,level
2014-06-01,106.0,level
2014-07-01,106.2,level
2014-08-01,105.6,level
2014-09-01,105.7,level
2014-10-01,105.7,level
2014-11-01,106.0,level
2014-12-01,105.5,level
2015-01-01,105.1,level
2015-02-01,104.1,level
2015-03-01,103.7,level
2015-04-01,103.4,level
2015-05-01,103.4,level
2015-06-01,103.3,level
2015-07-01,104.2,level
2015-08-01,105.1,level
2015-09-01,105.5,level
2015-10-01,105.8,level
2015-11-01,107.2,level
2015-12-01,110.2,level
2016-01-01,111.1,level
2016-02-01,113.3,level
2016-03-01,113.7,level
2016-04-01,114.8,level
2016-05-01,115.1,level
2016-06-01,114.9,level
2016-07-01,114.4,level
2016-08-01,113.4,level
2016-09-01,113.1,level
2016-10-01,112.7,level
2016-11-01,111.2,level
2016-12-01,108.0,level
2017-01-01,107.2,level
2017-02-01,105.0,level
2017-03-01,105.5,level
2017-04-01,105.4,level
2017-05-01,106.4,level
2017-06-01,106.3,level
2017-07-01,106.1,level
2017-08-01,106.3,level
2017-09-01,106.2,level
2017-10-01,106.6,level
2017-11-01,108.3,level
2017-12-01,107.9,level
2018-01-01,108.5,level
2018-02-01,108.3,level
2018-03-01,107.7,level
2018-04-01,107.2,level
2018-05-01,105.8,level
2018-06-01,105.9,level
2018-07-01,105.6,level
2018-08-01,105.4,level
2018-09-01,105.4,level
2018-10-01,104.7,level
2018-11-01,102.3,level
2018-12-01,102.6,level
2019-01-01,100.1,level
2019-02-01,93.9,level
2019-03-01,93.7,level
2019-04-01,93.6,level
2019-05-01,93.6,level
2019-06-01,93.6,level
2019-07-01,93.2,level
2019-08-01,93.0,level
2019-09-01,92.9,level
2019-10-01,93.4,level
2019-11-01,94.3,level
2019-12-01,94.5,level
2020-01-01,96.1,level
2020-02-01,101.7,level
2020-03-01,101.8,level
2020-04-01,101.4,level
2020-05-01,99.8,level
2020-06-01,100.2,level
2020-07-01,101.2,level
2020-08-01,101.4,level
2020-09-01,101.9,level
2020-10-01,102.3,level
2020-11-01,103.2,level
2020-12-01,102.8,level
2021-01-01,102.4,level
2021-02-01,101.4,level
2021-03-01,101.2,level
2021-04-01,101.7,level
2021-05-01,104.2,level
2021-06-01,104.6,level
2021-07-01,105.8,level
2021-08-01,106.2,level
2021-09-01,105.7,level
2021-10-01,105.3,level
2021-11-01,103.6,level
2021-12-01,104.3,level
2022-01-01,104.5,level
2022-02-01,104.5,level
2022-03-01,104.5,level
2022-04-01,104.4,level
2022-05-01,103.6,level
2022-06-01,103.0,level
2022-07-01,101.2,level
2022-08-01,102.4,level
2022-09-01,103.9,level
2022-10-01,105.4,level
2022-11-01,106.2,level
2022-12-01,106.1,level
2023-01-01,106.4,level
2023-02-01,109.0,level
2023-03-01,109.7,level
2023-04-01,109.8,level
2023-05-01,110.0,level
2023-06-01,110.2,level
2023-07-01,111.2,level
2023-08-01,114.8,level
2023-09-01,113.9,level
2023-10-01,112.8,level
2023-11-01,117.7,level
2023-12-01,118.6,level
2024-01-01,118.9,level
2024-02-01,120.6,level
2024-03-01,124.0,level
2024-04-01,125.2,level
2024-05-01,126.2,level
2024-06-01,125.9,level
2024-07-01,125.0,level
2024-08-01,120.8,level
2024-09-01,121.3,level
2024-10-01,123.8,level
2024-11-01,119.3,level
2024-12-01,119.0,level
2025-01-01,119.5,level
2025-02-01,122.2,level
2025-03-01,122.9,level
2025-04-01,122.3,level
2025-05-01,122.9,level
2025-06-01,124.2,level
2025-07-01,123.6,level
2025-08-01,127.2,level
2025-09-01,127.0,level
2025-10-01,112.2,level
2025-11-01,107.4,level
2025-12-01,106.4,level
2026-01-01,105.6,level
2026-02-01,102.4,level
2026-03-01,98.6,level
2026-04-01,98.2,level
2026-05-01,97.9,level
2026-06-01,96.7,level
2026-07-01,97.4,level
2026-08-01,97.8,level
