date,value,transformation
2001-12-31,14.91,level
2002-12-31,15.29,level
2003-12-31,16.63,level
2004-12-31,18.19,level
2005-12-31,18.42,level
2007-12-31,20.79,level
2008-12-31,22.81,level
2009-12-31,22.14,level
2010-12-31,22.53,level
2011-12-31,22.51,level
2012-12-31,22.7,level
2013-12-31,22.73,level
2014-12-31,23.1,level
2015-12-31,22.71,level
2016-12-31,22.52,level
2017-12-31,21.64,level
2018-12-31,21.77,level
2019-12-31,21.73,level
2020-12-31,22.76,level
2021-12-31,23.5,level
2022-12-31,20.57,level
2023-12-31,19.52,level
2024-12-31,18.15,level
2025-12-31,16.43,level
