date,value,transformation
2001-12-31,9.95,level
2002-12-31,10.05,level
2003-12-31,10.41,level
2004-12-31,10.14,level
2005-12-31,10.37,level
2007-12-31,10.22,level
2008-12-31,9.75,level
2009-12-31,8.88,level
2010-12-31,8.95,level
2011-12-31,8.72,level
2012-12-31,8.54,level
2013-12-31,8.0,level
2014-12-31,7.65,level
2015-12-31,7.46,level
2016-12-31,7.37,level
2017-12-31,7.15,level
2018-12-31,7.14,level
2019-12-31,7.19,level
2020-12-31,8.6,level
2021-12-31,9.61,level
2022-12-31,6.8,level
2023-12-31,6.57,level
2024-12-31,6.59,level
2025-12-31,6.61,level
