date,value,transformation
2000-12-31,149778.0,level
2001-12-31,147876.0,level
2002-12-31,149381.0,level
2003-12-31,155277.0,level
2004-12-31,152250.0,level
2005-12-31,157121.0,level
2006-12-31,157210.0,level
2007-12-31,158297.0,level
2008-12-31,152878.0,level
2009-12-31,142883.0,level
2010-12-31,146027.0,level
2011-12-31,144323.0,level
2012-12-31,143411.0,level
2013-12-31,136368.0,level
2014-12-31,132287.0,level
2015-12-31,130811.0,level
2016-12-31,131231.0,level
2017-12-31,129009.0,level
2018-12-31,130448.0,level
2019-12-31,133128.0,level
2020-12-31,161333.0,level
2021-12-31,182403.0,level
2022-12-31,133523.0,level
2023-12-31,130686.0,level
2024-12-31,132916.0,level
2025-12-31,134735.0,level
