date,value,transformation
2000-12-31,178.06737,level
2001-12-31,214.5393,level
2002-12-31,349.05421,level
2003-12-31,426.45329,level
2004-12-31,525.76308,level
2005-12-31,687.10198,level
2006-12-31,755.58451,level
2007-12-31,921.15553,level
2008-12-31,1237.0414,level
2009-12-31,1474.6174,level
2010-12-31,1822.0256,level
2011-12-31,2011.7734,level
2012-12-31,2352.9209,level
2013-12-31,2374.2247,level
2014-12-31,2939.0477,level
2015-12-31,3928.923084,level
2016-12-31,4567.170902,level
2017-12-31,5200.619635,level
2018-12-31,6697.689196,level
2019-12-31,16144.398666,level
2020-12-31,17693.898865,level
2021-12-31,17128.288859,level
2022-12-31,8755.952908,level
2023-12-31,9709.761239,level
2024-12-31,12741.619157,level
2025-12-31,15982.161949,level
