date,value,transformation
2000-12-31,31.7,level
2001-12-31,32.2,level
2002-12-31,28.6,level
2003-12-31,32.7,level
2004-12-31,33.5,level
2005-12-31,36.3,level
2006-12-31,37.3,level
2007-12-31,35.2,level
2008-12-31,36.1,level
2009-12-31,37.6,level
2010-12-31,36.3,level
2011-12-31,39.5,level
2012-12-31,40.2,level
2013-12-31,42.7,level
2014-12-31,47.1,level
2015-12-31,38.659434705249,level
2016-12-31,36.7779020014144,level
2017-12-31,36.9967200524352,level
2018-12-31,38.2673678228899,level
2019-12-31,41.1615936711972,level
2020-12-31,45.6819339827603,level
2021-12-31,47.1595507780396,level
2022-12-31,46.2428901889196,level
2023-12-31,46.5422612896213,level
2024-12-31,44.8861060170206,level
2025-12-31,47.0474359292332,level
