date,value,transformation
2010-03-31,4020878400000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-06-30,8712143851205.14,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-09-30,14135228100000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-12-31,21815517000000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-03-31,5240223500000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-06-30,11240030900000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-09-30,18664939500000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-12-31,28243052700000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-03-31,6097729900000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-06-30,12849001600000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-09-30,20848732600000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-12-31,31015186600000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-03-31,6966935000000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-06-30,14499992200000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-09-30,23767993400000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-12-31,35999025100000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-03-31,7933827500000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-06-30,16482952200000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-09-30,27040987300000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-12-31,39675832900000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2015-03-31,8267517700000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2015-06-30,16804418100000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2015-09-30,27436536700000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2015-12-31,40884133600000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2016-03-31,9309090900000.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
