date,value,transformation
2000-12-31,109.8,level
2001-12-31,113.5,level
2002-12-31,109.8,level
2003-12-31,109.3,level
2004-12-31,109.6,level
2005-12-31,109.7,level
2006-12-31,110.7,level
2007-12-31,108.9,level
2008-12-31,103.3,level
2009-12-31,101.2,level
2010-12-31,107.3,level
2011-12-31,107.4,level
2012-12-31,104.8,level
2013-12-31,106.0,level
2014-12-31,104.2,level
2015-12-31,101.2,level
2016-12-31,101.1,level
2017-12-31,104.1,level
2018-12-31,104.1,level
2019-12-31,104.5,level
2020-12-31,97.5,level
2021-12-31,104.3,level
2022-12-31,103.2,level
2023-12-31,105.1,level
2024-12-31,105.0,level
2025-12-31,106.5,level
