date,value,transformation
2000-12-31,450258400000.0,level
2001-12-31,771384600000.0,level
2002-12-31,907126000000.0,level
2003-12-31,1062657700000.0,level
2004-12-31,1472424200000.0,level
2005-12-31,2122679100000.0,level
2006-12-31,3084388000000.0,level
2007-12-31,3857191900000.0,level
2008-12-31,4308792900000.0,level
2009-12-31,4726718700000.0,level
2010-12-31,5307136600000.0,level
2011-12-31,6062287200000.0,level
2012-12-31,7072441500000.0,level
2013-12-31,7877374300000.0,level
2014-12-31,8552487100000.0,level
2015-12-31,9354911600000.0,level
2016-12-31,10671499700000.0,level
2017-12-31,11798875100000.0,level
2018-12-31,13091415800000.0,level
2019-12-31,16317522500000.0,level
2020-12-31,17463439500000.0,level
2021-12-31,19341582200000.0,level
2022-12-31,22958808400000.0,level
2023-12-31,29811815900000.0,level
2024-12-31,33469209900000.0,level
2025-12-31,39170101300000.0,level
