date,value,transformation
2000-12-31,116.1,level
2001-12-31,125.3,level
2002-12-31,110.0,level
2003-12-31,108.0,level
2004-12-31,122.5,level
2005-12-31,128.1,level
2006-12-31,129.7,level
2007-12-31,117.3,level
2008-12-31,101.0,level
2009-12-31,99.2,level
2014-12-31,104.4,level
2015-12-31,104.2,level
2016-12-31,103.0,level
2017-12-31,104.5,level
2018-12-31,105.4,level
2019-12-31,113.8,level
2020-12-31,99.8,level
2021-12-31,102.6,level
2022-12-31,103.8,level
2023-12-31,117.1,level
2024-12-31,106.5,level
2025-12-31,110.4,level
