date,value,transformation
2011-01-01,0.29,level
2011-04-01,0.287,level
2011-07-01,0.291,level
2011-10-01,0.283,level
2012-01-01,0.285,level
2012-04-01,0.285,level
2012-07-01,0.288,level
2012-10-01,0.279,level
2013-01-01,0.274,level
2013-04-01,0.281,level
2013-07-01,0.278,level
2013-10-01,0.271,level
2014-01-01,0.275,level
2014-04-01,0.279,level
2014-07-01,0.28,level
2014-10-01,0.275,level
2015-01-01,0.281,level
2015-04-01,0.275,level
2015-07-01,0.28,level
2015-10-01,0.276,level
2016-01-01,0.276,level
2016-04-01,0.276,level
2016-07-01,0.281,level
2016-10-01,0.28,level
2017-10-01,0.283,level
2018-01-01,0.285,level
2018-04-01,0.29,level
2018-07-01,0.289,level
2018-10-01,0.295,level
2019-01-01,0.29,level
2019-04-01,0.288,level
2019-07-01,0.288,level
2019-10-01,0.292,level
2020-01-01,0.29,level
2020-04-01,0.287,level
2020-07-01,0.292,level
2020-10-01,0.29,level
2021-01-01,0.287,level
2021-07-01,0.298,level
2021-10-01,0.292,level
2022-01-01,0.29,level
2022-04-01,0.288,level
2022-07-01,0.282,level
2022-10-01,0.281,level
2023-01-01,0.29,level
2023-04-01,0.291,level
2023-07-01,0.291,level
2023-10-01,0.289,level
2024-01-01,0.289,level
2024-04-01,0.293,level
2024-07-01,0.301,level
2024-10-01,0.3,level
2025-01-01,0.287,level
2025-04-01,0.293,level
2025-07-01,0.293,level
2025-10-01,0.291,level
2026-01-01,0.283,level
