date,value,transformation
2001-12-31,23150.0,level
2002-12-31,15131.0,level
2003-12-31,13911.0,level
2004-12-31,12019.0,level
2005-12-31,11200.0,level
2006-12-31,12330.0,level
2007-12-31,13160.0,level
2008-12-31,17334.0,level
2009-12-31,13788.0,level
2010-12-31,13922.0,level
2011-12-31,16804.0,level
2012-12-31,11628.0,level
2013-12-31,20157.0,level
2014-12-31,28248.0,level
2015-12-31,31406.0,level
2016-12-31,29964.0,level
2017-12-31,29259.0,level
2018-12-31,24001.0,level
2019-12-31,34139.0,level
2020-12-31,62410.0,level
2021-12-31,83887.0,level
2022-12-31,84236.0,level
2023-12-31,86227.0,level
2024-12-31,88743.0,level
2025-12-31,44644.0,level
