date,value,transformation
2000-12-31,471597400000.0,level
2001-12-31,873643200000.0,level
2002-12-31,1030460100000.0,level
2003-12-31,1185458100000.0,level
2004-12-31,1544496300000.0,level
2005-12-31,2350789200000.0,level
2006-12-31,3462535700000.0,level
2007-12-31,4565107700000.0,level
2008-12-31,4415593700000.0,level
2009-12-31,5002725300000.0,level
2014-12-31,10232495400000.0,level
2015-12-31,11409909500000.0,level
2016-12-31,13070935700000.0,level
2017-12-31,14330178900000.0,level
2018-12-31,15614509700000.0,level
2019-12-31,19210178500000.0,level
2020-12-31,20351807200000.0,level
2021-12-31,22275240500000.0,level
2022-12-31,25916382000000.0,level
2023-12-31,33631527400000.0,level
2024-12-31,37457431100000.0,level
2025-12-31,45016860600000.0,level
