date,value,transformation
2000-12-31,4096.952188,level
2001-12-31,4285.010396,level
2002-12-31,4488.791702,level
2003-12-31,4671.520636,level
2004-12-31,4932.391085,level
2005-12-31,5120.566568,level
2006-12-31,5252.224561,level
2007-12-31,5538.093599,level
2008-12-31,5773.024094,level
2009-12-31,5588.963915,level
2010-12-31,5726.047437,level
2011-12-31,5895.040359,level
2012-12-31,6146.298146,level
2017-12-31,6848.0637,level
2018-12-31,6536.1229,level
2019-12-31,6337.8948,level
2020-12-31,6221.9914,level
2021-12-31,6253.0303,level
2022-12-31,6502.4823,level
2023-12-31,6648.6163,level
2024-12-31,6938.9286,level
2025-12-31,7027.8486,level
