date,value,transformation
2000-12-31,1589061600000.0,level
2001-12-31,1850799100000.0,level
2002-12-31,1993710800000.0,level
2003-12-31,2434434100000.0,level
2004-12-31,3053657900000.0,level
2005-12-31,3685763300000.0,level
2006-12-31,4547334500000.0,level
2007-12-31,5641240900000.0,level
2008-12-31,6970468500000.0,level
2009-12-31,7912607000000.0,level
2014-12-31,18805873900000.0,level
2015-12-31,21491895400000.0,level
2016-12-31,25087440100000.0,level
2017-12-31,27986614700000.0,level
2018-12-31,31514400600000.0,level
2019-12-31,35570705800000.0,level
2020-12-31,36660980900000.0,level
2021-12-31,42419295900000.0,level
2022-12-31,50951517700000.0,level
2023-12-31,61348463000000.0,level
2024-12-31,73171015400000.0,level
2025-12-31,88162257500000.0,level
