date,value,transformation
2019-01-01,2295045.348209998,level
2019-02-01,2237181.494299993,level
2019-03-01,2656784.9518100014,level
2019-04-01,3281326.52717999,level
2019-05-01,3652883.612699984,level
2019-06-01,3412558.2263800087,level
2019-07-01,3990234.8986299885,level
2019-08-01,3864188.604280005,level
2019-09-01,3593427.611209968,level
2019-10-01,3990155.357689976,level
2019-11-01,3210404.670110012,level
2019-12-01,3525114.554460005,level
2020-01-01,2553506.17209001,level
2020-02-01,2435884.0662899823,level
2020-03-01,2632829.9327600026,level
2020-04-01,2825391.9494300066,level
2020-05-01,3021255.371709976,level
2020-06-01,3810652.8988500205,level
2020-07-01,3753263.315130019,level
2020-08-01,3790530.8692399994,level
2020-09-01,3828536.147390007,level
2020-10-01,3667143.0039600274,level
2020-11-01,3027403.9550800105,level
2020-12-01,3582678.383110009,level
2021-01-01,2182365.2307500024,level
2021-02-01,2738416.7823100123,level
2021-03-01,3299169.286769997,level
2021-04-01,3455611.936039967,level
2021-05-01,3368204.774560019,level
2021-06-01,3643202.346359988,level
2021-07-01,3554653.349179981,level
2021-08-01,3680160.0819100025,level
2021-09-01,3742270.395630013,level
2021-10-01,3680541.448179984,level
2021-11-01,3750256.82710999,level
2021-12-01,4320583.010900013,level
2022-01-01,2847284.4449199955,level
2022-02-01,3427054.6767900023,level
2022-03-01,3579233.161579986,level
2022-04-01,3842605.44531001,level
2022-05-01,4038740.3137599938,level
2022-06-01,4564945.071579966,level
2022-07-01,4001124.148159999,level
2022-08-01,4736798.689709967,level
2022-09-01,4532374.791740003,level
2022-10-01,4737748.965479971,level
2022-11-01,5072426.983400006,level
2022-12-01,5554024.0278199995,level
2023-01-01,4261154.37051,level
2023-02-01,4591872.621629999,level
2023-03-01,5415336.152409995,level
2023-04-01,5052585.741619996,level
2023-05-01,5420413.836950004,level
2023-06-01,5149226.001070001,level
2023-07-01,5379963.523020003,level
2023-08-01,5108872.958460003,level
2023-09-01,4725258.53292,level
2023-10-01,4974475.408800002,level
2023-11-01,5120196.54518,level
2023-12-01,5213096.903370003,level
2024-01-01,4327102.32729002,level
2024-02-01,4102634.6040099906,level
2024-03-01,4608521.934100003,level
2024-04-01,5230213.213970047,level
2024-05-01,5175212.541670006,level
2024-06-01,4950400.068619998,level
2024-07-01,5338647.023349996,level
2024-08-01,5245461.333669998,level
2024-09-01,4939879.5775399925,level
2024-10-01,5499970.321059992,level
2024-11-01,5252876.853300056,level
2024-12-01,5727049.585379954,level
2025-01-01,4369125.698819999,level
2025-02-01,4450593.607579998,level
2025-03-01,4709147.182030002,level
2025-04-01,5431140.203080004,level
2025-05-01,5417192.442700004,level
2025-06-01,5462042.798370001,level
2025-07-01,5516843.706599993,level
2025-08-01,5381113.225620001,level
2025-09-01,5779957.384110003,level
2025-10-01,5917727.658270003,level
2025-11-01,5881063.739770008,level
2025-12-01,7115016.38019,level
2026-01-01,4688992.149860018,level
2026-02-01,4959428.2790100025,level
2026-03-01,5277882.918239994,level
2026-04-01,5953097.255370033,level
2026-05-01,5137288.100680034,level
2026-06-01,5443409.308769996,level
