date,value,transformation
1990-12-31,91.0,level
1991-12-31,95.9,level
1992-12-31,79.1,level
1993-12-31,83.7,level
1994-12-31,69.2,level
1995-12-31,83.7,level
1996-12-31,96.4,level
1997-12-31,100.2,level
1998-12-31,86.9,level
1999-12-31,108.0,level
2000-12-31,122.8,level
2001-12-31,110.6,level
2002-12-31,106.8,level
2003-12-31,107.3,level
2004-12-31,109.2,level
2005-12-31,106.4,level
2006-12-31,107.2,level
2007-12-31,108.6,level
2008-12-31,97.5,level
2009-12-31,97.1,level
2010-12-31,113.9,level
2011-12-31,107.7,level
2012-12-31,101.2,level
2013-12-31,101.9,level
2014-12-31,101.1,level
2015-12-31,100.2,level
2016-12-31,100.6,level
2017-12-31,105.6,level
2018-12-31,104.5,level
2019-12-31,105.8,level
2020-12-31,104.1,level
2021-12-31,104.7,level
2022-12-31,103.6,level
2023-12-31,104.0,level
2024-12-31,106.9,level
2025-12-31,107.1,level
