date,value,transformation
2000-12-31,2990847400000.0,level
2001-12-31,3894764000000.0,level
2002-12-31,3981855500000.0,level
2003-12-31,4560635700000.0,level
2004-12-31,6042494900000.0,level
2005-12-31,7893525800000.0,level
2006-12-31,10182133300000.0,level
2007-12-31,11691870700000.0,level
2008-12-31,14116108100000.0,level
2009-12-31,13981759400000.0,level
2010-12-31,15241822000000.0,level
2011-12-31,19705034100000.0,level
2012-12-31,21129898300000.0,level
2013-12-31,23264281300000.0,level
2014-12-31,25208557400000.0,level
2015-12-31,25174185800000.0,level
2016-12-31,30393719100000.0,level
2017-12-31,44223008300000.0,level
2018-12-31,45046871300000.0,level
2019-12-31,46992498200000.0,level
2020-12-31,42866610700000.0,level
2021-12-31,61996110900000.0,level
2022-12-31,74559143400000.0,level
2023-12-31,72813967800000.0,level
2024-12-31,77857582400000.0,level
2025-12-31,93919024900000.0,level
