date,value,transformation
2005-12-31,159657168552.1,level
2006-12-31,212054991215.9,level
2007-12-31,248897770413.8,level
2008-12-31,1628511690993.0,level
2009-12-31,1867329865048.7,level
2010-12-31,2958714440233.0,level
2011-12-31,3167633950075.4,level
2012-12-31,3502698156421.8,level
2013-12-31,3726583953818.3,level
2014-12-31,3883101288282.7,level
2015-12-31,2009814552495.0,level
2016-12-31,2225175080480.5,level
2017-12-31,2465531868965.5,level
2018-12-31,3603807807931.7,level
2019-12-31,4284488810709.2,level
2020-12-31,4639791130023.0,level
2021-12-31,5648330025246.8,level
2022-12-31,7128345239854.4,level
2023-12-31,7969352900000.0,level
2024-12-31,9225200959058.0,level
