date,value,transformation
2000-12-31,155749.0,level
2001-12-31,141710.0,level
2002-12-31,120223.0,level
2003-12-31,73890.0,level
2004-12-31,65530.0,level
2005-12-31,52139.0,level
2006-12-31,33690.0,level
2007-12-31,42435.0,level
2008-12-31,44813.0,level
2009-12-31,33985.0,level
2010-12-31,26541.0,level
2011-12-31,32920.0,level
2012-12-31,29722.0,level
2013-12-31,24384.0,level
2014-12-31,28946.0,level
2015-12-31,30047.0,level
2016-12-31,34900.0,level
2017-12-31,37725.0,level
2018-12-31,41868.0,level
2019-12-31,45225.0,level
2020-12-31,29088.0,level
2021-12-31,32256.0,level
2022-12-31,24147.0,level
2023-12-31,16094.0,level
2024-12-31,12732.0,level
2025-12-31,7608.0,level
