date,value,transformation
2000-12-31,195126800000.0,level
2001-12-31,-34424800000.0,level
2002-12-31,-1903400000.0,level
2003-12-31,247695900000.0,level
2004-12-31,504339700000.0,level
2005-12-31,654780800000.0,level
2006-12-31,1072142400000.0,level
2007-12-31,830611800000.0,level
2008-12-31,3210257200000.0,level
2009-12-31,1345437100000.0,level
2010-12-31,3130547000000.0,level
2011-12-31,5595363499999.999,level
2012-12-31,4495835400000.0,level
2013-12-31,4257412500000.0,level
2014-12-31,5440144500000.0,level
2015-12-31,1628696000000.0,level
2016-12-31,1585830900000.0,level
2017-12-31,4334058800000.0,level
2018-12-31,7246783000000.0,level
2019-12-31,5576070000000.0,level
2020-12-31,2848124800000.0,level
2021-12-31,7237563500000.0,level
2022-12-31,15361139200000.0,level
2023-12-31,8321390400000.0,level
2024-12-31,7454952100000.0,level
2025-12-31,5173993200000.0,level
