date,value,transformation
2000-12-31,172682400000.0,level
2001-12-31,224626500000.0,level
2002-12-31,271781700000.0,level
2003-12-31,313022700000.0,level
2004-12-31,353323300000.0,level
2005-12-31,467849900000.0,level
2006-12-31,665834200000.0,level
2007-12-31,919585000000.0,level
2008-12-31,1125255400000.0,level
2009-12-31,782282700000.0,level
2010-12-31,1166485400000.0,level
2011-12-31,2501177900000.0,level
2012-12-31,2487096500000.0,level
2013-12-31,3102424100000.0,level
2014-12-31,3024260700000.0,level
2015-12-31,2100233200000.0,level
2016-12-31,2633564500000.0,level
2017-12-31,3182998500000.0,level
2018-12-31,4112983100000.0,level
2019-12-31,4851021700000.0,level
2020-12-31,3820798100000.0,level
2021-12-31,4855517600000.0,level
2022-12-31,7398002700000.0,level
2023-12-31,8841170700000.0,level
2024-12-31,8286490200000.0,level
2025-12-31,9329876300000.0,level
