date,value,transformation
2015-01-01,3206127.20189,level
2015-02-01,2487220.153089999,level
2015-03-01,2030412.0480400003,level
2015-04-01,2286799.95952,level
2015-05-01,2582509.05526,level
2015-06-01,2639827.14967,level
2015-07-01,2452302.22086,level
2015-08-01,2129629.15757,level
2015-09-01,2019011.8298400003,level
2015-10-01,1589748.1626500003,level
2015-11-01,1204567.52033,level
2015-12-01,2144858.4615100003,level
2016-01-01,1671121.2539800003,level
2016-02-01,1605506.6877499998,level
2016-03-01,1268118.7493500002,level
2016-04-01,1338078.1402999999,level
2016-05-01,1433670.15131,level
2016-06-01,1493679.0019399999,level
2016-07-01,1797224.4999999995,level
2016-08-01,1559611.2847899997,level
2016-09-01,1853987.7336499998,level
2016-10-01,1255334.6315999997,level
2016-11-01,1923385.0775900001,level
2016-12-01,2095975.7132099995,level
2017-01-01,1802859.8508199998,level
2017-02-01,2135262.1589900004,level
2017-03-01,2142366.7980799996,level
2017-04-01,2175302.0768,level
2017-05-01,2290995.9472500007,level
2017-06-01,2274142.1676000003,level
2017-07-01,2118414.3670900003,level
2017-08-01,1794293.7534100001,level
2017-09-01,2420104.5458500003,level
2017-10-01,2010037.43868,level
2017-11-01,2418036.7779900003,level
2017-12-01,3002423.0968400002,level
2018-01-01,2373588.01987,level
2018-02-01,2735677.5108699994,level
2018-03-01,3139681.2427899996,level
2018-04-01,2897210.4296000004,level
2018-05-01,2853276.1503999997,level
2018-06-01,3650821.68155,level
2018-07-01,3456363.01065,level
2018-08-01,3223594.8787099994,level
2018-09-01,3568229.4751399993,level
2018-10-01,3288446.4004800003,level
2018-11-01,2546418.4177900003,level
2018-12-01,4069650.12449,level
2019-01-01,3335703.6214,level
2019-02-01,2620480.8877399997,level
2019-03-01,1491802.4709100001,level
2019-04-01,3035310.9776399997,level
2019-05-01,2890835.5038799997,level
2019-06-01,3115722.5942700002,level
2019-07-01,2379436.4498999994,level
2019-08-01,2723790.98169,level
2019-09-01,3324445.64183,level
2019-10-01,3023092.7325299997,level
2019-11-01,2712903.6902899994,level
2019-12-01,2931644.7427100004,level
2020-01-01,2591755.8871399993,level
2020-02-01,3111903.52708,level
2020-03-01,3121131.54412,level
2020-04-01,2763054.47258,level
2020-05-01,2242126.2687399997,level
2020-06-01,1256637.19899,level
2020-07-01,724067.95389,level
2020-08-01,1340585.92528,level
2020-09-01,1576940.4683299998,level
2020-10-01,1747660.0236600002,level
2020-11-01,1746882.8661899997,level
2020-12-01,1481103.48359,level
2021-01-01,1570799.66035,level
2021-02-01,1805443.0342100002,level
2021-03-01,2208077.73308,level
2021-04-01,2411911.4225199996,level
2021-05-01,2504536.79692,level
2021-06-01,2954423.30018,level
2021-07-01,2670641.36639,level
2021-08-01,3041619.1635100003,level
2021-09-01,3118338.831230001,level
2021-10-01,3099172.84396,level
2021-11-01,2590641.54149,level
2021-12-01,3114231.5922899996,level
2022-01-01,3669449.2814099994,level
2022-02-01,3529974.9842299996,level
2022-03-01,3858695.99332,level
2022-04-01,4429252.1591300005,level
2022-05-01,4589568.44887,level
2022-06-01,4771524.5109,level
2022-07-01,3495967.67386,level
2022-08-01,4300756.915809999,level
2022-10-01,3947955.7711300002,level
2022-11-01,3394176.5642899997,level
2022-12-01,3167555.86436,level
2023-01-01,3218523.0565500003,level
2023-02-01,3565188.4991399995,level
2023-03-01,3456515.35308,level
2023-04-01,3910525.343840001,level
2023-05-01,3106881.6965999994,level
2023-06-01,3280000.2646200005,level
2023-07-01,3913118.0496,level
2023-08-01,3467652.9581800005,level
2023-09-01,3249218.20575,level
2023-10-01,3816316.23492,level
2023-11-01,3384837.28543,level
2023-12-01,3950796.27995,level
2024-01-01,3671269.5445899996,level
2024-02-01,3645850.00769,level
2024-03-01,3545075.8509999993,level
2024-04-01,3786696.6296400004,level
2024-05-01,3715214.7606,level
2024-06-01,3618101.89762,level
2024-07-01,3733793.25172,level
2024-08-01,3402351.404340001,level
2024-09-01,3721933.0726400004,level
2024-10-01,3412272.75531,level
2024-11-01,2923788.49986,level
2024-12-01,3708784.7131800004,level
2025-01-01,2728534.420070001,level
2025-02-01,3066096.40061,level
2025-03-01,2733856.6560099996,level
2025-04-01,3393938.8932199995,level
2025-05-01,3772461.08455,level
2025-06-01,3712032.7629799997,level
2025-07-01,3369999.9231000007,level
2025-08-01,3093179.8805600004,level
2025-09-01,3862388.9460599995,level
2025-10-01,3508948.66172,level
2025-11-01,3281646.16505,level
2025-12-01,3454134.3065899992,level
2026-01-01,3221222.65705,level
2026-02-01,2845849.1841800013,level
2026-03-01,2410080.1205700003,level
2026-04-01,2501745.04824,level
2026-05-01,2768427.89497,level
2026-06-01,5169473.5938,level
2026-07-01,5597433.380720001,level
