date,value,transformation
2019-01-01,6458923.609,level
2019-02-01,5916925.067,level
2019-03-01,3672571.312,level
2019-04-01,6591446.144,level
2019-05-01,5928819.244,level
2019-06-01,6086999.497,level
2019-07-01,4360519.937,level
2019-08-01,5231385.010000001,level
2019-09-01,6860788.906,level
2019-10-01,6490546.045,level
2019-11-01,6043764.51696,level
2019-12-01,6366034.516,level
2020-01-01,5607103.2496299995,level
2020-02-01,6445431.899999999,level
2020-03-01,6224699.884,level
2020-04-01,6216552.517000001,level
2020-05-01,6069878.699999999,level
2020-06-01,6782608.276999999,level
2020-07-01,6231681.261,level
2020-08-01,6307874.023000001,level
2020-09-01,5133334.433,level
2020-10-01,5290588.017,level
2020-11-01,5371208.498000001,level
2020-12-01,4903386.501,level
2021-01-01,5165686.6899999995,level
2021-02-01,5300322.223,level
2021-03-01,5719366.954999999,level
2021-04-01,5619453.658000002,level
2021-05-01,5164062.373000001,level
2021-06-01,6138355.412,level
2021-07-01,5396831.673,level
2021-08-01,5887058.544,level
2021-09-01,5583370.788,level
2021-10-01,5566982.326,level
2021-11-01,4835854.498,level
2021-12-01,5330371.902000001,level
2022-01-01,5785958.749000001,level
2022-02-01,5881053.733000001,level
2022-03-01,6431112.370999999,level
2022-04-01,6336200.493000001,level
2022-05-01,5791554.147000001,level
2022-06-01,6049752.29,level
2022-07-01,4678599.882,level
2022-08-01,5220637.272000001,level
2022-10-01,4917138.808999999,level
2022-11-01,4831582.3780000005,level
2022-12-01,4683051.5426,level
2023-01-01,4587554.794000001,level
2023-02-01,5672482.413000001,level
2023-03-01,6351111.066000001,level
2023-04-01,6907714.152,level
2023-05-01,5278251.758000001,level
2023-06-01,5724675.032000001,level
2023-07-01,6725981.748,level
2023-08-01,6356908.212,level
2023-09-01,5883459.799,level
2023-10-01,6336616.357999999,level
2023-11-01,5113777.365999999,level
2023-12-01,5737944.43,level
2024-01-01,5605724.491,level
2024-02-01,6136690.695,level
2024-03-01,6125370.428,level
2024-04-01,6424269.393,level
2024-05-01,6085359.908000001,level
2024-06-01,5718218.593,level
2024-07-01,5927292.159999999,level
2024-08-01,5754482.035,level
2024-09-01,6057673.917,level
2024-10-01,5621201.662,level
2024-11-01,5006706.711,level
2024-12-01,6574445.862,level
2025-01-01,4813543.661,level
2025-02-01,5598777.454000001,level
2025-03-01,4926292.9799999995,level
2025-04-01,5944887.101,level
2025-05-01,6961689.206000001,level
2025-06-01,7090097.096000002,level
2025-07-01,6971938.54,level
2025-08-01,6429708.367,level
2025-09-01,7427285.1389999995,level
2025-10-01,6664216.028000001,level
2025-11-01,6477788.62,level
2025-12-01,6988041.4120000005,level
2026-01-01,6634119.686,level
2026-02-01,6021775.318,level
2026-03-01,5020047.069999999,level
2026-04-01,4654025.977000001,level
2026-05-01,4571937.534999999,level
2026-06-01,6142051.07458,level
