date,value,transformation
2005-12-31,7045.0,level
2006-12-31,7777.0,level
2007-12-31,8747.0,level
2008-12-31,47771.0,level
2009-12-31,56742.0,level
2010-12-31,53722.0,level
2011-12-31,56354.0,level
2012-12-31,56894.0,level
2013-12-31,63791.0,level
2014-12-31,58372.0,level
2015-12-31,70990.0,level
2016-12-31,80717.0,level
2017-12-31,83478.0,level
2018-12-31,104435.0,level
2019-12-31,109172.0,level
2020-12-31,113514.0,level
2021-12-31,110047.0,level
2022-12-31,119587.0,level
2023-12-31,124305.0,level
2024-12-31,134416.0,level
