date,value,transformation
2021-01-01,5897.129871543049,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-02-01,12005.2283286049,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-03-01,19218.5888259012,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-04-01,26637.731304590598,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-05-01,34354.9844219404,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-06-01,43052.0006605683,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-07-01,52004.4663021765,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-08-01,61966.7435699731,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-09-01,72189.44023112691,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-10-01,83227.7815814124,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-11-01,94882.9196751618,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2021-12-01,106789.970303989,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-01-01,7048.62454678644,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-02-01,14656.359632017598,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-03-01,23514.914347790796,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-04-01,32148.911673612,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-05-01,41363.1905502825,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-06-01,51275.473033400005,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-07-01,61528.824792323,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-08-01,72087.53335394419,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-09-01,82276.20005255079,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-10-01,92779.62571799899,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-11-01,104294.35010244299,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2022-12-01,116516.139801306,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-01-01,5636.37806482853,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-02-01,10885.9498741377,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-03-01,16708.2882725261,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-04-01,21989.218432144797,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-05-01,27636.495771783502,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-06-01,34109.5851537762,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-07-01,40772.6390547833,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-08-01,47653.5555618921,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-09-01,54082.1061744577,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-10-01,60346.8173320116,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-11-01,66733.2387887529,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2023-12-01,72753.6951497814,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-01-01,6160.64598494732,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-02-01,11714.2163311154,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-03-01,18174.8360496813,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-04-01,24430.849326506697,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-05-01,31225.939440199403,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-06-01,38506.4401531057,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-07-01,46525.4009731586,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-08-01,54399.8872543578,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-09-01,61684.9225488121,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-10-01,68596.46200306411,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-11-01,75780.3070351787,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2024-12-01,82785.67125767731,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-01-01,7082.08790772883,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-02-01,13729.1194322733,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-03-01,20714.6607958438,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-04-01,27771.2236409861,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-05-01,35255.3485972984,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-06-01,43122.6861614155,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-07-01,51507.4481416476,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-08-01,59829.7508722816,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-09-01,67135.2581189226,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-10-01,74310.2754776988,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-11-01,81547.4294035606,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2025-12-01,88916.838404571,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-01-01,7298.2961657264495,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-02-01,14034.2375840562,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-03-01,21707.717720461398,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-04-01,29052.575156001898,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-05-01,36685.9,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-06-01,45342.8,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-07-01,54627.9,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
2026-08-01,64000.6,"level (year-to-date cumulative, as published -- not decumulated to discrete months)"
