date,value,transformation
2000-12-31,558102960000.0,level
2001-12-31,719550013000.0,level
2002-12-31,826325002000.0,level
2003-12-31,968938501000.0,level
2004-12-31,1218922799000.0,level
2005-12-31,1408697774000.0,level
2006-12-31,1736760017000.0,level
2007-12-31,2092794453000.0,level
2008-12-31,2442827169000.0,level
2009-12-31,2551402949000.0,level
2010-12-31,3197147799000.0,level
2011-12-31,3865840640000.0,level
2012-12-31,4567661194000.0,level
2013-12-31,5474274033000.0,level
2014-12-31,6332252984000.0,level
2015-12-31,6555820930000.0,level
2016-12-31,7974442118000.0,level
2017-12-31,8892857650788.56,level
2018-12-31,10045772326672.8,level
2019-12-31,11327580594424.2,level
2020-12-31,11729949741121.6,level
2021-12-31,13709321565719.8,level
2022-12-31,16748110269401.7,level
2023-12-31,19959173845422.5,level
2024-12-31,23558796625282.5,level
2025-12-31,27709302232409.5,level
