date,value,transformation
2005-12-31,637918722415.3,level
2006-12-31,790976701259.5,level
2007-12-31,1121680314741.2,level
2008-12-31,1044505451161.1,level
2009-12-31,1135330006801.4,level
2010-12-31,1539295042665.1,level
2011-12-31,1723351608334.3,level
2012-12-31,1800895317991.2,level
2013-12-31,2300841842962.8,level
2014-12-31,6411607477289.4,level
2015-12-31,8186837366061.1,level
2016-12-31,10358829293728.5,level
2017-12-31,11791751833850.4,level
2018-12-31,13966092617449.1,level
2019-12-31,17744662519731.2,level
2020-12-31,18549353951801.2,level
2021-12-31,22466930211217.7,level
2022-12-31,29255486513778.5,level
2023-12-31,35961700300000.0,level
2024-12-31,43947996454750.8,level
