date,value,transformation
2000-12-31,1848100000.0,level
2001-12-31,4074600000.0,level
2002-12-31,1941000000.0,level
2003-12-31,3628900000.0,level
2004-12-31,4868900000.0,level
2005-12-31,6731000000.0,level
2006-12-31,8905100000.0,level
2007-12-31,10043300000.0,level
2008-12-31,13585000000.0,level
2009-12-31,25989400000.0,level
2010-12-31,60484800000.0,level
2011-12-31,80340300000.0,level
2012-12-31,97924300000.0,level
2013-12-31,91525000000.0,level
2014-12-31,116315000000.0,level
2015-12-31,122810600000.0,level
2016-12-31,143451800000.0,level
2017-12-31,188984900000.0,level
2018-12-31,164369200000.0,level
2019-12-31,206349300000.0,level
2020-12-31,248281800000.0,level
2021-12-31,305616400000.0,level
2022-12-31,381405800000.0,level
2023-12-31,980720000000.0,level
2024-12-31,1122348400000.0,level
2025-12-31,1304819600000.0,level
