date,value,transformation
2000-12-31,1922972700000.0,level
2001-12-31,2318529900000.0,level
2002-12-31,2500213400000.0,level
2003-12-31,3032033000000.0,level
2004-12-31,3824244000000.0,level
2005-12-31,4638271100000.0,level
2006-12-31,5709745200000.0,level
2007-12-31,7215844700000.0,level
2008-12-31,8764943000000.0,level
2009-12-31,10066102700000.0,level
2010-12-31,12258755700000.0,level
2011-12-31,14874786800000.0,level
2012-12-31,17510663900000.002,level
2013-12-31,21624594900000.0,level
2014-12-31,23477055500000.0,level
2015-12-31,26718002200000.0,level
2016-12-31,31083238500000.0,level
2017-12-31,34326070300000.0,level
2018-12-31,37350907100000.0,level
2019-12-31,42700693700000.0,level
2020-12-31,46448870300000.0,level
2021-12-31,52814472900000.0,level
2022-12-31,62193315900000.0,level
2023-12-31,75154867300000.0,level
2024-12-31,88245450300000.0,level
2025-12-31,105045369900000.0,level
