date,value,transformation
2001-01-01,12.7,level
2001-04-01,9.8,level
2001-07-01,9.2,level
2001-10-01,10.2,level
2002-01-01,10.8,level
2002-04-01,9.0,level
2002-07-01,8.3,level
2002-10-01,9.3,level
2003-01-01,9.7,level
2003-04-01,8.6,level
2003-07-01,8.2,level
2003-10-01,8.7,level
2004-01-01,8.9,level
2004-04-01,8.3,level
2004-07-01,8.0,level
2004-10-01,8.4,level
2005-01-01,8.5,level
2005-04-01,8.0,level
2005-07-01,7.8,level
2005-10-01,8.1,level
2006-01-01,8.2176,level
2006-04-01,7.7429,level
2006-07-01,7.504,level
2006-10-01,7.7019,level
2007-01-01,7.69,level
2007-04-01,7.3004,level
2007-07-01,7.0367,level
2007-10-01,7.0099,level
2008-01-01,6.8833,level
2008-04-01,6.6133,level
2008-07-01,6.3853,level
2008-10-01,6.6409,level
2009-01-01,6.9304,level
2009-04-01,6.7,level
2009-07-01,6.3088,level
2009-10-01,6.3,level
2010-01-01,6.2,level
2010-04-01,5.8,level
2010-07-01,5.6,level
2010-10-01,5.5,level
2011-01-01,5.5,level
2011-04-01,5.4,level
2011-07-01,5.3,level
2011-10-01,5.4,level
2012-01-01,5.4,level
2012-04-01,5.3,level
2012-07-01,5.2,level
2012-10-01,5.3,level
2013-01-01,5.3,level
2013-04-01,5.2,level
2013-07-01,5.2,level
2013-10-01,5.2,level
2014-01-01,5.1,level
2014-04-01,5.1,level
2014-07-01,5.0,level
2014-10-01,5.0,level
2015-01-01,5.0,level
2015-04-01,5.0,level
2015-07-01,4.9,level
2015-10-01,5.0,level
2016-01-01,5.1,level
2016-04-01,5.0,level
2016-07-01,4.9,level
2016-10-01,4.9,level
2017-01-01,4.9,level
2017-04-01,4.9,level
2017-07-01,4.9,level
2017-10-01,4.9,level
2018-01-01,4.9,level
2018-04-01,4.9,level
2018-07-01,4.8,level
2018-10-01,4.8,level
2019-01-01,4.8,level
2019-04-01,4.8,level
2019-07-01,4.8,level
2019-10-01,4.8,level
2020-01-01,4.8,level
2020-04-01,5.0,level
2020-07-01,5.0,level
2020-10-01,4.9,level
2021-01-01,4.9,level
2021-04-01,4.9,level
2021-07-01,4.9,level
2021-10-01,4.9,level
2022-01-01,4.9,level
2022-04-01,4.9,level
2022-07-01,4.9,level
2022-10-01,4.8,level
2023-01-01,4.8,level
2023-04-01,4.7,level
2023-07-01,4.7,level
2023-10-01,4.7,level
2024-01-01,4.7,level
2024-04-01,4.7,level
2024-07-01,4.6,level
2024-10-01,4.6,level
2025-01-01,4.6,level
2025-04-01,4.6,level
2025-07-01,4.6,level
2025-10-01,4.6,level
2026-01-01,4.5,level
2026-04-01,4.517,level
