date,value,transformation
2006-12-31,81622.0,level
2007-12-31,104245.0,level
2008-12-31,198828.0,level
2009-12-31,256767.0,level
2010-12-31,296018.0,level
2011-12-31,330137.0,level
2012-12-31,397229.0,level
2013-12-31,658461.0,level
2014-12-31,610321.0,level
2015-12-31,655094.0,level
2016-12-31,785534.0,level
2017-12-31,833773.0,level
2018-12-31,950139.0,level
2019-12-31,1034300.0,level
2020-12-31,1063880.0,level
2021-12-31,1090655.0,level
2022-12-31,1110667.0,level
2023-12-31,1137136.0,level
2024-12-31,1209844.0,level
2025-12-31,1207459.0,level
