date,value,transformation
2001-10-01,-2.1512,level
2001-11-01,-0.2978,level
2001-12-01,-9.3454,level
2002-01-01,-6.0268,level
2002-02-01,-1.5528,level
2002-03-01,0.3613,level
2002-04-01,-0.8077,level
2002-05-01,2.0811,level
2002-06-01,0.9009,level
2002-07-01,-2.5337,level
2002-08-01,1.0814,level
2002-09-01,-0.477,level
2002-10-01,4.5462,level
2002-11-01,4.571,level
2002-12-01,-6.8944,level
2003-01-01,6.6117,level
2003-02-01,23.0214,level
2003-03-01,13.931,level
2003-04-01,-3.3721,level
2003-05-01,14.0307,level
2003-06-01,23.1765,level
2003-07-01,12.2237,level
2003-08-01,-1.6842,level
2003-09-01,-8.5279,level
2003-10-01,10.7587,level
2003-11-01,12.8507,level
2003-12-01,21.7176,level
2004-01-01,42.6146,level
2004-02-01,2.8148,level
2004-03-01,4.1847,level
2004-04-01,5.1761,level
2004-05-01,12.2339,level
2004-06-01,8.8144,level
2004-07-01,1.3828,level
2004-08-01,-2.1134,level
2004-09-01,18.6267,level
2004-10-01,21.586,level
2004-11-01,17.2995,level
2004-12-01,-0.7078,level
2005-01-01,-3.8168,level
2005-02-01,0.5842,level
2005-03-01,-24.0922,level
2005-04-01,5.6078,level
2005-05-01,-8.5795,level
2005-06-01,-26.1441,level
2005-07-01,-6.4771,level
2005-08-01,1.7903,level
2005-09-01,8.8226,level
2005-10-01,-3.05,level
2005-11-01,-3.1885,level
2005-12-01,-2.0612,level
2006-01-01,13.9471,level
2006-02-01,13.2764,level
2006-03-01,12.7445,level
2006-04-01,37.1332,level
2006-05-01,21.3814,level
2006-06-01,24.1451,level
2006-07-01,-1.471,level
2006-08-01,-70.6922,level
2006-09-01,-18.9329,level
2006-10-01,-7.986,level
2006-11-01,-4.7271,level
2006-12-01,2.0171,level
2007-01-01,7.2132,level
2007-02-01,21.1577,level
2007-03-01,-4.0449,level
2007-04-01,35.1722,level
2007-05-01,-18.4655,level
2007-06-01,-1.0327,level
2007-07-01,-19.236,level
2007-08-01,-21.922,level
2007-09-01,51.5207,level
2007-10-01,3.3838,level
2007-11-01,-1.776,level
2007-12-01,4.0518,level
2008-01-01,0.7353,level
2008-02-01,-7.6197,level
2008-03-01,0.6884,level
