date,value,transformation
2019-11-01,7.9818,level
2019-12-01,8.0504,level
2020-01-01,8.0542,level
2020-02-01,8.1658,level
2020-03-01,9.2691,level
2020-04-01,10.6334,level
2020-05-01,10.2615,level
2020-06-01,10.1144,level
2020-07-01,10.0937,level
2020-08-01,9.8767,level
2020-09-01,9.4582,level
2020-10-01,9.383,level
2020-11-01,9.5276,level
2020-12-01,9.4129,level
2021-01-01,9.3286,level
2021-02-01,9.171,level
2021-03-01,8.6521,level
2021-04-01,8.7291,level
2021-05-01,8.9814,level
2021-06-01,8.9747,level
2021-07-01,9.1247,level
2021-08-01,9.1836,level
2021-09-01,9.264,level
2021-10-01,9.4833,level
2021-11-01,9.5853,level
2021-12-01,9.2946,level
2022-01-01,9.0924,level
2022-02-01,8.9122,level
2022-03-01,9.8564,level
2022-04-01,11.2162,level
2022-05-01,11.3368,level
2022-06-01,10.7777,level
2022-07-01,10.4191,level
2022-08-01,10.2734,level
2022-09-01,9.7512,level
2022-10-01,9.4233,level
2022-11-01,8.6432,level
2022-12-01,9.2388,level
2023-01-01,10.2005,level
2023-02-01,9.8752,level
2023-03-01,9.384,level
2023-04-01,8.7474,level
2023-05-01,9.2783,level
2023-06-01,8.9108,level
2023-07-01,8.9173,level
2023-08-01,9.0427,level
2023-09-01,8.854,level
2023-10-01,8.6795,level
2023-11-01,8.8337,level
2023-12-01,8.8526,level
2024-01-01,8.219,level
2024-02-01,7.0393,level
2024-03-01,6.4746,level
2024-04-01,6.1058,level
2024-05-01,6.5847,level
2024-06-01,7.3972,level
2024-07-01,7.5741,level
2024-08-01,8.039,level
2024-09-01,8.5961,level
2024-10-01,7.8953,level
2024-11-01,7.3907,level
2024-12-01,7.124,level
2025-01-01,7.3315,level
2025-02-01,7.9355,level
2025-03-01,9.4207,level
2025-04-01,10.3353,level
2025-05-01,11.2637,level
2025-06-01,12.1206,level
2025-07-01,11.9413,level
2025-08-01,11.7782,level
2025-09-01,12.2671,level
2025-10-01,12.2628,level
2025-11-01,12.3461,level
2025-12-01,12.268,level
2026-01-01,12.2637,level
2026-02-01,12.3311,level
2026-03-01,12.0608,level
2026-04-01,12.2716,level
2026-05-01,12.8115,level
2026-06-01,12.5497,level
2026-07-01,10.8407,level
2026-08-01,10.7545,level
