date,value,transformation
2001-09-01,0.3229,level
2001-10-01,1.0943,level
2001-11-01,3.3429,level
2001-12-01,3.91,level
2002-01-01,2.7295,level
2002-02-01,3.1965,level
2002-03-01,2.7289,level
2002-04-01,3.9136,level
2002-05-01,2.8662,level
2002-06-01,2.4695,level
2002-07-01,3.3304,level
2002-08-01,3.419,level
2002-09-01,2.6329,level
2002-10-01,2.9923,level
2002-11-01,3.4043,level
2002-12-01,3.9514,level
2003-01-01,3.5229,level
2003-02-01,2.748,level
2003-03-01,2.8711,level
2003-04-01,2.6445,level
2003-05-01,3.163,level
2003-06-01,2.3581,level
2003-07-01,2.6996,level
2003-08-01,2.6395,level
2003-09-01,4.1895,level
2003-10-01,3.485,level
2003-11-01,1.284,level
2003-12-01,1.9943,level
2004-01-01,1.6515,level
2004-02-01,1.695,level
2004-03-01,0.9919,level
2004-04-01,1.8882,level
2004-05-01,2.1411,level
2004-06-01,1.0127,level
2004-07-01,0.1509,level
2004-08-01,0.5248,level
2004-09-01,0.4827,level
2004-10-01,-1.0095,level
2004-11-01,-1.2914,level
2004-12-01,-0.8924,level
2005-01-01,-0.4063,level
2005-02-01,-1.4425,level
2005-03-01,-1.8033,level
2005-04-01,-1.8367,level
2005-05-01,-2.0405,level
2005-06-01,-1.3141,level
2005-07-01,-2.4914,level
2005-08-01,-2.2841,level
2005-09-01,-3.305,level
2005-10-01,-2.0645,level
2005-11-01,-2.5618,level
2005-12-01,-2.867,level
2006-01-01,-2.3747,level
2006-02-01,-3.823,level
2006-03-01,-4.4152,level
2006-04-01,-4.1125,level
2006-05-01,-4.321,level
2006-06-01,-3.7364,level
2006-07-01,-4.3052,level
2006-08-01,-3.3977,level
2006-09-01,-1.0533,level
2006-10-01,-1.3962,level
2006-11-01,-3.2259,level
2006-12-01,-3.2453,level
2007-01-01,-3.9514,level
2007-02-01,-3.136,level
2007-03-01,-3.657,level
2007-04-01,-1.5538,level
2007-05-01,-2.5738,level
2007-06-01,-0.6381,level
2007-07-01,-0.1545,level
2007-08-01,3.4371,level
2007-09-01,2.5343,level
2007-10-01,-0.1859,level
2007-11-01,-1.4781,level
2007-12-01,-1.6206,level
2008-01-01,-0.063,level
2008-02-01,-1.149,level
2008-03-01,-1.1,level
2008-04-01,1.8995,level
2008-05-01,-1.542,level
2008-06-01,-0.6875,level
2008-07-01,0.96,level
2008-08-01,0.8895,level
2008-09-01,1.1771,level
2008-10-01,2.2423,level
2008-11-01,5.0915,level
2008-12-01,6.319,level
2009-01-01,10.8147,level
2009-02-01,6.3285,level
2009-03-01,1.494,level
2009-04-01,0.5673,level
2009-05-01,0.6474,level
2009-06-01,1.0986,level
2009-07-01,0.9227,level
2009-08-01,0.6105,level
2009-09-01,0.5795,level
2009-10-01,0.4536,level
2009-11-01,0.2365,level
2009-12-01,0.1557,level
2010-01-01,0.0572,level
2010-02-01,-0.012,level
2010-03-01,-0.0532,level
2010-04-01,-0.0305,level
2010-05-01,0.1379,level
2010-06-01,0.0586,level
2010-07-01,0.0805,level
2010-08-01,0.2862,level
2010-09-01,0.0777,level
2010-10-01,0.1486,level
2010-11-01,0.0258,level
2010-12-01,0.0476,level
2011-01-01,0.0717,level
2011-02-01,0.0125,level
2011-03-01,0.0274,level
2011-04-01,0.0271,level
2011-05-01,0.3225,level
2011-06-01,0.0809,level
2011-07-01,0.1085,level
2011-08-01,0.8591,level
2011-09-01,0.3418,level
2011-10-01,1.011,level
2011-11-01,0.9036,level
2011-12-01,0.2225,level
2012-01-01,0.0285,level
2012-02-01,0.0814,level
2012-03-01,0.0,level
2012-04-01,0.0457,level
2012-05-01,0.9243,level
2012-06-01,0.3943,level
2012-07-01,0.23,level
2012-08-01,1.8209,level
2012-09-01,0.7725,level
2012-10-01,1.475,level
2012-11-01,1.3,level
2012-12-01,1.7361,level
2013-01-01,0.213,level
2013-02-01,0.782,level
2013-03-01,0.0565,level
2013-04-01,0.1295,level
2013-05-01,1.033,level
2013-06-01,1.371,level
2013-07-01,1.6536,level
2013-08-01,4.4657,level
2013-09-01,2.0943,level
2013-10-01,2.9605,level
2013-11-01,3.0867,level
2013-12-01,1.5695,level
2014-01-01,1.5405,level
2014-02-01,3.0595,level
2014-03-01,20.3424,level
2014-04-01,0.5882,level
2014-05-01,0.5626,level
2014-06-01,0.6633,level
2014-07-01,1.3659,level
2014-08-01,2.1948,level
2014-09-01,0.5019,level
2014-10-01,5.9548,level
2014-11-01,6.083,level
2014-12-01,41.356,level
2015-01-01,14.8874,level
2015-02-01,14.789,level
2015-03-01,14.1211,level
2015-04-01,9.4814,level
2015-05-01,11.04,level
2015-06-01,2.6314,level
2015-07-01,2.7082,level
2015-08-01,8.418,level
2015-09-01,13.1367,level
2015-10-01,16.4568,level
2015-11-01,23.3062,level
2015-12-01,72.1365,level
2016-01-01,45.1783,level
2016-02-01,15.76,level
2016-03-01,14.6389,level
2016-04-01,14.6333,level
2016-05-01,13.7684,level
2016-06-01,13.6232,level
2016-07-01,12.268,level
2016-08-01,11.7455,level
2016-09-01,11.7581,level
2016-10-01,11.2305,level
2016-11-01,11.1291,level
2016-12-01,10.8426,level
2017-01-01,10.894,level
2017-02-01,10.2685,level
2017-03-01,9.4637,level
2017-04-01,9.5495,level
2017-05-01,9.1745,level
2017-06-01,8.5532,level
2017-07-01,8.453,level
2017-08-01,8.2677,level
2017-09-01,8.091,level
2017-10-01,8.1114,level
2017-11-01,8.27,level
2017-12-01,8.0189,level
2018-01-01,7.57,level
2018-02-01,7.3385,level
2018-03-01,7.0617,level
2018-04-01,6.81,level
2018-05-01,6.5855,level
2018-06-01,6.3062,level
2018-07-01,6.2962,level
2018-08-01,6.5767,level
2018-09-01,6.487,level
2018-10-01,5.9848,level
2018-11-01,6.0741,level
2018-12-01,6.0844,level
2019-01-01,5.8645,level
2019-02-01,5.8595,level
2019-03-01,5.8259,level
2019-04-01,5.7118,level
2019-05-01,5.6645,level
2019-06-01,5.9225,level
2019-07-01,5.7191,level
2019-08-01,6.5033,level
2019-09-01,6.7857,level
2019-10-01,6.6657,level
2019-11-01,7.3948,level
2019-12-01,7.3432,level
2020-01-01,7.08,level
2020-02-01,7.631,level
2020-03-01,11.6667,level
2020-04-01,9.2718,level
2020-05-01,8.3806,level
2020-06-01,8.3759,level
2020-07-01,8.389,level
2020-08-01,8.707,level
2020-09-01,8.4486,level
2020-10-01,8.8641,level
2020-11-01,8.7814,level
2020-12-01,8.298,level
2021-01-01,8.13,level
2021-02-01,8.631,level
2021-03-01,9.1042,level
2021-04-01,8.6268,level
2021-05-01,8.0572,level
2021-06-01,8.2614,level
2021-07-01,8.339,level
2021-08-01,8.9224,level
2021-09-01,8.8395,level
2021-10-01,8.9538,level
2021-11-01,9.2786,level
2021-12-01,10.4185,level
2022-01-01,10.2071,level
2022-02-01,10.9465,level
2022-03-01,13.8684,level
2022-04-01,13.4414,level
2022-05-01,13.6195,level
2022-06-01,12.3177,level
2022-07-01,11.4055,level
2022-08-01,11.5068,level
2022-09-01,11.8568,level
2022-10-01,11.5485,level
2022-11-01,11.6605,level
2022-12-01,12.1695,level
2023-01-01,11.4885,level
2023-02-01,11.5645,level
2023-03-01,11.9195,level
2023-04-01,12.09,level
2023-05-01,11.568,level
2023-06-01,11.0652,level
2023-07-01,11.7315,level
2023-08-01,11.745,level
2023-09-01,11.6762,level
2023-10-01,11.0429,level
2023-11-01,10.3555,level
2023-12-01,9.755,level
2024-01-01,9.5281,level
2024-02-01,9.1824,level
2024-03-01,8.3606,level
2024-04-01,8.3736,level
2024-05-01,8.227,level
2024-06-01,8.274,level
2024-07-01,7.9373,level
2024-08-01,7.7852,level
2024-09-01,8.2976,level
2024-10-01,8.9305,level
2024-11-01,9.1262,level
2024-12-01,10.3371,level
2025-01-01,10.434,level
2025-02-01,10.5555,level
2025-03-01,11.1594,level
2025-04-01,11.6186,level
2025-05-01,11.3758,level
2025-06-01,11.1145,level
2025-07-01,11.2514,level
2025-08-01,11.2143,level
2025-09-01,11.6295,level
2025-10-01,12.5041,level
2025-11-01,13.2335,level
2025-12-01,13.3305,level
2026-01-01,13.7737,level
2026-02-01,13.6245,level
2026-03-01,14.1606,level
2026-04-01,14.3636,level
2026-05-01,14.1141,level
2026-06-01,13.4191,level
2026-07-01,12.8964,level
2026-08-01,12.481,level
