date,region,item_code,item_name,value,transformation
2022-12-31,ABY,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",43593.0,level
2023-12-31,ABY,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",28009.0,level
2024-12-31,ABY,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",31642.0,level
2025-12-31,ABY,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",31025.0,level
2016-12-31,AKM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",135496.0,level
2017-12-31,AKM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",128972.0,level
2018-12-31,AKM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",122426.0,level
2019-12-31,AKM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",118159.0,level
2020-12-31,AKM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",115298.0,level
2021-12-31,AKM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",113989.0,level
2022-12-31,AKM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",105858.0,level
2023-12-31,AKM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",103252.0,level
2024-12-31,AKM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",89489.0,level
2025-12-31,AKM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",88222.0,level
2016-12-31,AKT,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",45896.0,level
2017-12-31,AKT,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",39369.0,level
2018-12-31,AKT,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",30164.0,level
2019-12-31,AKT,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",29820.0,level
2020-12-31,AKT,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",33404.0,level
2021-12-31,AKT,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",33379.0,level
2022-12-31,AKT,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",30726.0,level
2023-12-31,AKT,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",34061.0,level
2024-12-31,AKT,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",31198.0,level
2025-12-31,AKT,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",25266.0,level
2016-12-31,ALA,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",1770.0,level
2017-12-31,ALA,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",2493.0,level
2018-12-31,ALA,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",2801.0,level
2019-12-31,ALA,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",2952.0,level
2020-12-31,ALA,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",3112.0,level
2021-12-31,ALA,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",3652.0,level
2022-12-31,ALA,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",3858.0,level
2023-12-31,ALA,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",3272.0,level
2024-12-31,ALA,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",4988.0,level
2025-12-31,ALA,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",5777.0,level
2016-12-31,ALM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",280251.0,level
2017-12-31,ALM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",242176.0,level
2018-12-31,ALM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",205361.0,level
2019-12-31,ALM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",204396.0,level
2020-12-31,ALM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",201327.0,level
2021-12-31,ALM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",199961.0,level
2022-12-31,ALM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",124409.0,level
2023-12-31,ALM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",127427.0,level
2024-12-31,ALM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",129266.0,level
2025-12-31,ALM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",128473.0,level
2016-12-31,AST,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",4814.0,level
2017-12-31,AST,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",1955.0,level
2018-12-31,AST,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",2304.0,level
2019-12-31,AST,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",3543.0,level
2020-12-31,AST,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",3423.0,level
2021-12-31,AST,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",3725.0,level
2022-12-31,AST,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",4454.0,level
2023-12-31,AST,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",5005.0,level
2024-12-31,AST,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",5128.0,level
2025-12-31,AST,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",5801.0,level
2016-12-31,ATY,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",10712.0,level
2017-12-31,ATY,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",8364.0,level
2018-12-31,ATY,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",8042.0,level
2019-12-31,ATY,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",8044.0,level
2020-12-31,ATY,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",8031.0,level
2021-12-31,ATY,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",8165.0,level
2022-12-31,ATY,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",8198.0,level
2023-12-31,ATY,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",8346.0,level
2024-12-31,ATY,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",8737.0,level
2025-12-31,ATY,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",8551.0,level
2016-12-31,KRG,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",32729.0,level
2017-12-31,KRG,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",31369.0,level
2018-12-31,KRG,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",31294.0,level
2019-12-31,KRG,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",30650.0,level
2020-12-31,KRG,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",37313.0,level
2021-12-31,KRG,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",35747.0,level
2022-12-31,KRG,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",24421.0,level
2023-12-31,KRG,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",37994.0,level
2024-12-31,KRG,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",29366.0,level
2025-12-31,KRG,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",26498.0,level
2016-12-31,KST,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",173322.0,level
2017-12-31,KST,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",154234.0,level
2018-12-31,KST,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",128352.0,level
2019-12-31,KST,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",123570.0,level
2020-12-31,KST,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",117412.0,level
2021-12-31,KST,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",120657.0,level
2022-12-31,KST,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",107367.0,level
2023-12-31,KST,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",101090.0,level
2024-12-31,KST,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",87175.0,level
2025-12-31,KST,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",78280.0,level
2016-12-31,KZL,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",39579.0,level
2017-12-31,KZL,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",30310.0,level
2018-12-31,KZL,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",28106.0,level
2019-12-31,KZL,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",27204.0,level
2020-12-31,KZL,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",28526.0,level
2021-12-31,KZL,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",29364.0,level
2022-12-31,KZL,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",27291.0,level
2023-12-31,KZL,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",26939.0,level
2024-12-31,KZL,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",26773.0,level
2025-12-31,KZL,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",16259.0,level
2016-12-31,MNG,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",3141.0,level
2017-12-31,MNG,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",2119.0,level
2018-12-31,MNG,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",1422.0,level
2019-12-31,MNG,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",1449.0,level
2020-12-31,MNG,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",2775.0,level
2021-12-31,MNG,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",4392.0,level
2022-12-31,MNG,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",2909.0,level
2023-12-31,MNG,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",3596.0,level
2024-12-31,MNG,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",4634.0,level
2025-12-31,MNG,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",7021.0,level
2016-12-31,PVL,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",73661.0,level
2017-12-31,PVL,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",69471.0,level
2018-12-31,PVL,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",65891.0,level
2019-12-31,PVL,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",63874.0,level
2020-12-31,PVL,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",62860.0,level
2021-12-31,PVL,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",61363.0,level
2022-12-31,PVL,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",61379.0,level
2023-12-31,PVL,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",60782.0,level
2024-12-31,PVL,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",60621.0,level
2025-12-31,PVL,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",60239.0,level
2016-12-31,SHM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",5734.0,level
2017-12-31,SHM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",7168.0,level
2018-12-31,SHM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",7464.0,level
2019-12-31,SHM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",6680.0,level
2020-12-31,SHM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",6559.0,level
2021-12-31,SHM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",6411.0,level
2022-12-31,SHM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",6600.0,level
2023-12-31,SHM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",7780.0,level
2024-12-31,SHM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",7871.0,level
2025-12-31,SHM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",7812.0,level
2016-12-31,SKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",102220.0,level
2017-12-31,SKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",97818.0,level
2018-12-31,SKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",94616.0,level
2019-12-31,SKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",89020.0,level
2020-12-31,SKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",86087.0,level
2021-12-31,SKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",84381.0,level
2022-12-31,SKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",78745.0,level
2023-12-31,SKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",74406.0,level
2024-12-31,SKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",64285.0,level
2025-12-31,SKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",57919.0,level
2018-12-31,TRK,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",179831.0,level
2019-12-31,TRK,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",178775.0,level
2020-12-31,TRK,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",177642.0,level
2021-12-31,TRK,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",184550.0,level
2022-12-31,TRK,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",177857.0,level
2023-12-31,TRK,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",187705.0,level
2024-12-31,TRK,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",188692.0,level
2025-12-31,TRK,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",189007.0,level
2022-12-31,ULT,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",3697.0,level
2023-12-31,ULT,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",5059.0,level
2024-12-31,ULT,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",3340.0,level
2025-12-31,ULT,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",2367.0,level
2016-12-31,VKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",106934.0,level
2017-12-31,VKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",105459.0,level
2018-12-31,VKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",104855.0,level
2019-12-31,VKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",103149.0,level
2020-12-31,VKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",102525.0,level
2021-12-31,VKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",101600.0,level
2022-12-31,VKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",47533.0,level
2023-12-31,VKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",38196.0,level
2024-12-31,VKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",34962.0,level
2025-12-31,VKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",31427.0,level
2016-12-31,YKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",175689.0,level
2017-12-31,YKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",186172.0,level
2016-12-31,ZHM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",126315.0,level
2017-12-31,ZHM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",145855.0,level
2018-12-31,ZHM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",142713.0,level
2019-12-31,ZHM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",143558.0,level
2020-12-31,ZHM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",139409.0,level
2021-12-31,ZHM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",135938.0,level
2022-12-31,ZHM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",140217.0,level
2023-12-31,ZHM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",139304.0,level
2024-12-31,ZHM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",139572.0,level
2025-12-31,ZHM,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",137398.0,level
2022-12-31,ZHT,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",62455.0,level
2023-12-31,ZHT,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",40321.0,level
2024-12-31,ZHT,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",34731.0,level
2025-12-31,ZHT,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",34997.0,level
2016-12-31,ZKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",73001.0,level
2017-12-31,ZKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",72835.0,level
2018-12-31,ZKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",72558.0,level
2019-12-31,ZKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",49872.0,level
2020-12-31,ZKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",49195.0,level
2021-12-31,ZKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",49108.0,level
2022-12-31,ZKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",47321.0,level
2023-12-31,ZKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",46176.0,level
2024-12-31,ZKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",45381.0,level
2025-12-31,ZKO,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",43561.0,level
2016-12-31,national,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",1385530.0,level
2017-12-31,national,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",1318971.0,level
2018-12-31,national,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",1228200.0,level
2019-12-31,national,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",1184715.0,level
2020-12-31,national,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",1175118.0,level
2021-12-31,national,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",1176382.0,level
2022-12-31,national,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",1108900.0,level
2023-12-31,national,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",1078720.0,level
2024-12-31,national,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",1027851.0,level
2025-12-31,national,TOTAL,"Занятые: сельское, лесное и рыбное хозяйство",985900.0,level
