date,region,item_code,item_name,value,transformation
2014-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1605.128,level
2019-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1184.715,level
2012-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2172.712,level
2002-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2345.332,level
2007-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2349.159,level
2001-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2344.584,level
2003-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2406.855,level
2006-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2301.848,level
2004-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2370.796,level
2005-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2318.731,level
2009-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2293.304,level
2011-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2196.054,level
2010-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2294.932,level
2013-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2073.557,level
2008-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2336.229,level
2017-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1318.971,level
2016-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1385.53,level
2018-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1228.2,level
2015-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1362.943,level
2014-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,294.579,level
2019-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,279.936,level
2012-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,225.076,level
2002-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,192.369,level
2007-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,195.838,level
2001-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,192.871,level
2003-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,194.306,level
2006-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,195.085,level
2004-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,194.689,level
2005-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,194.884,level
2009-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,195.533,level
2011-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,206.817,level
2010-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,193.731,level
2013-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,249.338,level
2008-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,196.753,level
2017-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,283.678,level
2016-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,277.581,level
2018-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,286.152,level
2015-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,284.154,level
2014-12-31,national,C,Обрабатывающая промышленность,536.289,level
2019-12-31,national,C,Обрабатывающая промышленность,583.629,level
2012-12-31,national,C,Обрабатывающая промышленность,543.469,level
2002-12-31,national,C,Обрабатывающая промышленность,460.306,level
2007-12-31,national,C,Обрабатывающая промышленность,530.715,level
2001-12-31,national,C,Обрабатывающая промышленность,463.992,level
2003-12-31,national,C,Обрабатывающая промышленность,477.619,level
2006-12-31,national,C,Обрабатывающая промышленность,514.857,level
2004-12-31,national,C,Обрабатывающая промышленность,485.484,level
2005-12-31,national,C,Обрабатывающая промышленность,497.651,level
2009-12-31,national,C,Обрабатывающая промышленность,543.052,level
2011-12-31,national,C,Обрабатывающая промышленность,542.17,level
2010-12-31,national,C,Обрабатывающая промышленность,565.562,level
2013-12-31,national,C,Обрабатывающая промышленность,548.008,level
2008-12-31,national,C,Обрабатывающая промышленность,539.927,level
2017-12-31,national,C,Обрабатывающая промышленность,581.589,level
2016-12-31,national,C,Обрабатывающая промышленность,568.191,level
2018-12-31,national,C,Обрабатывающая промышленность,580.544,level
2015-12-31,national,C,Обрабатывающая промышленность,552.558,level
2014-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",173.374,level
2019-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",150.169,level
2012-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",158.491,level
2002-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",145.861,level
2007-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",130.371,level
2001-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",140.923,level
2003-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",158.471,level
2006-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",127.163,level
2004-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",153.453,level
2005-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",142.336,level
2009-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",131.329,level
2011-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",146.713,level
2010-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",132.073,level
2013-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",161.681,level
2008-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",131.864,level
2017-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",150.993,level
2016-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",161.245,level
