date,region,item_code,item_name,value,transformation
2022-12-31,ABY,TOTAL,Наёмные работники,183.457,level
2023-12-31,ABY,TOTAL,Наёмные работники,183.846,level
2024-12-31,ABY,TOTAL,Наёмные работники,179.406,level
2025-12-31,ABY,TOTAL,Наёмные работники,190.379,level
2001-12-31,AKM,TOTAL,Наёмные работники,205.5,level
2002-12-31,AKM,TOTAL,Наёмные работники,187.381,level
2003-12-31,AKM,TOTAL,Наёмные работники,205.6,level
2004-12-31,AKM,TOTAL,Наёмные работники,204.8,level
2005-12-31,AKM,TOTAL,Наёмные работники,209.6,level
2006-12-31,AKM,TOTAL,Наёмные работники,214.3,level
2007-12-31,AKM,TOTAL,Наёмные работники,221.422,level
2008-12-31,AKM,TOTAL,Наёмные работники,233.4,level
2009-12-31,AKM,TOTAL,Наёмные работники,232.8,level
2010-12-31,AKM,TOTAL,Наёмные работники,238.7,level
2011-12-31,AKM,TOTAL,Наёмные работники,243.4,level
2012-12-31,AKM,TOTAL,Наёмные работники,242.98,level
2013-12-31,AKM,TOTAL,Наёмные работники,250.792,level
2014-12-31,AKM,TOTAL,Наёмные работники,259.075,level
2016-12-31,AKM,TOTAL,Наёмные работники,269.482,level
2017-12-31,AKM,TOTAL,Наёмные работники,268.683,level
2018-12-31,AKM,TOTAL,Наёмные работники,274.077,level
2019-12-31,AKM,TOTAL,Наёмные работники,277.525,level
2020-12-31,AKM,TOTAL,Наёмные работники,272.66,level
2021-12-31,AKM,TOTAL,Наёмные работники,272.21,level
2022-12-31,AKM,TOTAL,Наёмные работники,297.296,level
2023-12-31,AKM,TOTAL,Наёмные работники,290.388,level
2024-12-31,AKM,TOTAL,Наёмные работники,298.118,level
2025-12-31,AKM,TOTAL,Наёмные работники,302.063,level
2001-12-31,AKT,TOTAL,Наёмные работники,175.5,level
2002-12-31,AKT,TOTAL,Наёмные работники,178.773,level
2003-12-31,AKT,TOTAL,Наёмные работники,191.7,level
2004-12-31,AKT,TOTAL,Наёмные работники,200.3,level
2005-12-31,AKT,TOTAL,Наёмные работники,210.0,level
2006-12-31,AKT,TOTAL,Наёмные работники,217.9,level
2007-12-31,AKT,TOTAL,Наёмные работники,225.718,level
2008-12-31,AKT,TOTAL,Наёмные работники,239.8,level
2009-12-31,AKT,TOTAL,Наёмные работники,246.2,level
2010-12-31,AKT,TOTAL,Наёмные работники,256.2,level
2011-12-31,AKT,TOTAL,Наёмные работники,284.5,level
2012-12-31,AKT,TOTAL,Наёмные работники,304.806,level
2013-12-31,AKT,TOTAL,Наёмные работники,307.72,level
2014-12-31,AKT,TOTAL,Наёмные работники,322.253,level
2016-12-31,AKT,TOTAL,Наёмные работники,329.747,level
2017-12-31,AKT,TOTAL,Наёмные работники,339.869,level
2018-12-31,AKT,TOTAL,Наёмные работники,356.404,level
2019-12-31,AKT,TOTAL,Наёмные работники,356.662,level
2020-12-31,AKT,TOTAL,Наёмные работники,355.573,level
2021-12-31,AKT,TOTAL,Наёмные работники,355.486,level
2022-12-31,AKT,TOTAL,Наёмные работники,360.292,level
2023-12-31,AKT,TOTAL,Наёмные работники,366.155,level
2024-12-31,AKT,TOTAL,Наёмные работники,382.106,level
2025-12-31,AKT,TOTAL,Наёмные работники,386.154,level
2001-12-31,ALA,TOTAL,Наёмные работники,388.7,level
2002-12-31,ALA,TOTAL,Наёмные работники,406.327,level
2003-12-31,ALA,TOTAL,Наёмные работники,428.8,level
2004-12-31,ALA,TOTAL,Наёмные работники,454.5,level
2005-12-31,ALA,TOTAL,Наёмные работники,520.9,level
2006-12-31,ALA,TOTAL,Наёмные работники,546.8,level
2007-12-31,ALA,TOTAL,Наёмные работники,580.199,level
2008-12-31,ALA,TOTAL,Наёмные работники,607.3,level
2009-12-31,ALA,TOTAL,Наёмные работники,606.3,level
2010-12-31,ALA,TOTAL,Наёмные работники,620.2,level
2011-12-31,ALA,TOTAL,Наёмные работники,638.1,level
2012-12-31,ALA,TOTAL,Наёмные работники,671.523,level
2013-12-31,ALA,TOTAL,Наёмные работники,683.488,level
2014-12-31,ALA,TOTAL,Наёмные работники,704.254,level
2016-12-31,ALA,TOTAL,Наёмные работники,803.501,level
2017-12-31,ALA,TOTAL,Наёмные работники,821.671,level
2018-12-31,ALA,TOTAL,Наёмные работники,841.196,level
2019-12-31,ALA,TOTAL,Наёмные работники,864.28,level
2020-12-31,ALA,TOTAL,Наёмные работники,877.636,level
2021-12-31,ALA,TOTAL,Наёмные работники,886.839,level
2022-12-31,ALA,TOTAL,Наёмные работники,885.573,level
2023-12-31,ALA,TOTAL,Наёмные работники,921.736,level
2024-12-31,ALA,TOTAL,Наёмные работники,953.68,level
2025-12-31,ALA,TOTAL,Наёмные работники,985.521,level
2001-12-31,ALM,TOTAL,Наёмные работники,335.0,level
2002-12-31,ALM,TOTAL,Наёмные работники,368.411,level
2003-12-31,ALM,TOTAL,Наёмные работники,392.0,level
2004-12-31,ALM,TOTAL,Наёмные работники,415.4,level
2005-12-31,ALM,TOTAL,Наёмные работники,414.5,level
2006-12-31,ALM,TOTAL,Наёмные работники,426.1,level
2007-12-31,ALM,TOTAL,Наёмные работники,441.252,level
2008-12-31,ALM,TOTAL,Наёмные работники,462.1,level
2009-12-31,ALM,TOTAL,Наёмные работники,467.0,level
2010-12-31,ALM,TOTAL,Наёмные работники,477.6,level
2011-12-31,ALM,TOTAL,Наёмные работники,502.3,level
2012-12-31,ALM,TOTAL,Наёмные работники,555.379,level
2013-12-31,ALM,TOTAL,Наёмные работники,589.008,level
2014-12-31,ALM,TOTAL,Наёмные работники,664.093,level
2016-12-31,ALM,TOTAL,Наёмные работники,705.373,level
2017-12-31,ALM,TOTAL,Наёмные работники,721.674,level
2018-12-31,ALM,TOTAL,Наёмные работники,723.561,level
2019-12-31,ALM,TOTAL,Наёмные работники,723.873,level
2020-12-31,ALM,TOTAL,Наёмные работники,701.737,level
2021-12-31,ALM,TOTAL,Наёмные работники,691.318,level
2022-12-31,ALM,TOTAL,Наёмные работники,499.055,level
2023-12-31,ALM,TOTAL,Наёмные работники,465.392,level
2024-12-31,ALM,TOTAL,Наёмные работники,495.652,level
2025-12-31,ALM,TOTAL,Наёмные работники,513.495,level
2001-12-31,AST,TOTAL,Наёмные работники,147.4,level
2002-12-31,AST,TOTAL,Наёмные работники,199.562,level
2003-12-31,AST,TOTAL,Наёмные работники,224.6,level
2004-12-31,AST,TOTAL,Наёмные работники,245.5,level
2005-12-31,AST,TOTAL,Наёмные работники,247.2,level
2006-12-31,AST,TOTAL,Наёмные работники,254.7,level
2007-12-31,AST,TOTAL,Наёмные работники,266.087,level
2008-12-31,AST,TOTAL,Наёмные работники,297.5,level
2009-12-31,AST,TOTAL,Наёмные работники,313.0,level
2010-12-31,AST,TOTAL,Наёмные работники,336.8,level
2011-12-31,AST,TOTAL,Наёмные работники,344.5,level
2012-12-31,AST,TOTAL,Наёмные работники,364.103,level
2013-12-31,AST,TOTAL,Наёмные работники,382.894,level
2014-12-31,AST,TOTAL,Наёмные работники,411.099,level
2016-12-31,AST,TOTAL,Наёмные работники,442.619,level
2017-12-31,AST,TOTAL,Наёмные работники,466.951,level
2018-12-31,AST,TOTAL,Наёмные работники,471.757,level
2019-12-31,AST,TOTAL,Наёмные работники,487.712,level
2020-12-31,AST,TOTAL,Наёмные работники,497.578,level
2021-12-31,AST,TOTAL,Наёмные работники,511.948,level
2022-12-31,AST,TOTAL,Наёмные работники,549.579,level
2023-12-31,AST,TOTAL,Наёмные работники,578.996,level
2024-12-31,AST,TOTAL,Наёмные работники,579.42,level
2025-12-31,AST,TOTAL,Наёмные работники,658.919,level
2001-12-31,ATY,TOTAL,Наёмные работники,125.5,level
2002-12-31,ATY,TOTAL,Наёмные работники,143.886,level
2003-12-31,ATY,TOTAL,Наёмные работники,151.1,level
2004-12-31,ATY,TOTAL,Наёмные работники,156.4,level
2005-12-31,ATY,TOTAL,Наёмные работники,165.4,level
2006-12-31,ATY,TOTAL,Наёмные работники,173.4,level
2007-12-31,ATY,TOTAL,Наёмные работники,187.258,level
2008-12-31,ATY,TOTAL,Наёмные работники,201.3,level
2009-12-31,ATY,TOTAL,Наёмные работники,207.9,level
2010-12-31,ATY,TOTAL,Наёмные работники,222.2,level
2011-12-31,ATY,TOTAL,Наёмные работники,235.9,level
2012-12-31,ATY,TOTAL,Наёмные работники,245.798,level
2013-12-31,ATY,TOTAL,Наёмные работники,246.04,level
2014-12-31,ATY,TOTAL,Наёмные работники,251.802,level
2016-12-31,ATY,TOTAL,Наёмные работники,266.251,level
2017-12-31,ATY,TOTAL,Наёмные работники,269.82,level
2018-12-31,ATY,TOTAL,Наёмные работники,271.042,level
2019-12-31,ATY,TOTAL,Наёмные работники,278.387,level
2020-12-31,ATY,TOTAL,Наёмные работники,276.454,level
2021-12-31,ATY,TOTAL,Наёмные работники,278.704,level
2022-12-31,ATY,TOTAL,Наёмные работники,287.64,level
2023-12-31,ATY,TOTAL,Наёмные работники,291.083,level
2024-12-31,ATY,TOTAL,Наёмные работники,295.97,level
2025-12-31,ATY,TOTAL,Наёмные работники,292.657,level
2001-12-31,KRG,TOTAL,Наёмные работники,451.1,level
2002-12-31,KRG,TOTAL,Наёмные работники,460.273,level
2003-12-31,KRG,TOTAL,Наёмные работники,477.9,level
2004-12-31,KRG,TOTAL,Наёмные работники,488.8,level
2005-12-31,KRG,TOTAL,Наёмные работники,501.5,level
2006-12-31,KRG,TOTAL,Наёмные работники,505.5,level
2007-12-31,KRG,TOTAL,Наёмные работники,518.662,level
2008-12-31,KRG,TOTAL,Наёмные работники,529.8,level
2009-12-31,KRG,TOTAL,Наёмные работники,545.0,level
2010-12-31,KRG,TOTAL,Наёмные работники,558.8,level
2011-12-31,KRG,TOTAL,Наёмные работники,569.4,level
2012-12-31,KRG,TOTAL,Наёмные работники,577.889,level
2013-12-31,KRG,TOTAL,Наёмные работники,600.265,level
2014-12-31,KRG,TOTAL,Наёмные работники,580.463,level
2016-12-31,KRG,TOTAL,Наёмные работники,583.216,level
2017-12-31,KRG,TOTAL,Наёмные работники,596.131,level
2018-12-31,KRG,TOTAL,Наёмные работники,595.556,level
2019-12-31,KRG,TOTAL,Наёмные работники,592.869,level
2020-12-31,KRG,TOTAL,Наёмные работники,575.509,level
2021-12-31,KRG,TOTAL,Наёмные работники,562.955,level
2022-12-31,KRG,TOTAL,Наёмные работники,466.464,level
2023-12-31,KRG,TOTAL,Наёмные работники,461.72,level
2024-12-31,KRG,TOTAL,Наёмные работники,481.476,level
2025-12-31,KRG,TOTAL,Наёмные работники,465.879,level
2001-12-31,KST,TOTAL,Наёмные работники,266.0,level
2002-12-31,KST,TOTAL,Наёмные работники,269.071,level
2003-12-31,KST,TOTAL,Наёмные работники,281.6,level
