date,region,item_code,item_name,value,transformation
2026-01-01,national,BANKS_INTEREST_AFTER_2Y,Banks | Interests (forecast) | after 2 years,0.0,level
2026-04-01,national,BANKS_INTEREST_AFTER_2Y,Banks | Interests (forecast) | after 2 years,0.0,level
2026-01-01,national,BANKS_INTEREST_M01_03,Banks | Interests (forecast) | within 1-3 months,257.410422,level
2026-04-01,national,BANKS_INTEREST_M01_03,Banks | Interests (forecast) | within 1-3 months,244.667158,level
2026-01-01,national,BANKS_INTEREST_M04_06,Banks | Interests (forecast) | within 4-6 months,228.542087,level
2026-04-01,national,BANKS_INTEREST_M04_06,Banks | Interests (forecast) | within 4-6 months,198.177037,level
2026-01-01,national,BANKS_INTEREST_M07_09,Banks | Interests (forecast) | within 7-9 months,204.283938,level
2026-04-01,national,BANKS_INTEREST_M07_09,Banks | Interests (forecast) | within 7-9 months,182.869034,level
2026-01-01,national,BANKS_INTEREST_M10_12,Banks | Interests (forecast) | within 10-12 months,191.677853,level
2026-04-01,national,BANKS_INTEREST_M10_12,Banks | Interests (forecast) | within 10-12 months,171.472115,level
2026-01-01,national,BANKS_INTEREST_M13_15,Banks | Interests (forecast) | within 13-15 months,178.677995,level
2026-04-01,national,BANKS_INTEREST_M13_15,Banks | Interests (forecast) | within 13-15 months,159.636253,level
2026-01-01,national,BANKS_INTEREST_M16_18,Banks | Interests (forecast) | within 16-18 months,173.172408,level
2026-04-01,national,BANKS_INTEREST_M16_18,Banks | Interests (forecast) | within 16-18 months,140.164466,level
2026-01-01,national,BANKS_INTEREST_M19_21,Banks | Interests (forecast) | within 19-21 months,151.661875,level
2026-04-01,national,BANKS_INTEREST_M19_21,Banks | Interests (forecast) | within 19-21 months,131.295879,level
2026-01-01,national,BANKS_INTEREST_M22_24,Banks | Interests (forecast) | within 22-24 months,142.61316,level
2026-04-01,national,BANKS_INTEREST_M22_24,Banks | Interests (forecast) | within 22-24 months,122.587257,level
2026-01-01,national,BANKS_INTEREST_NO_INFO,Banks | Interests (forecast) | no information,0.0,level
2026-04-01,national,BANKS_INTEREST_NO_INFO,Banks | Interests (forecast) | no information,0.0,level
2026-01-01,national,BANKS_INTEREST_ON_DEMAND,Banks | Interests (forecast) | on demand,0.0,level
2026-04-01,national,BANKS_INTEREST_ON_DEMAND,Banks | Interests (forecast) | on demand,0.0,level
2026-01-01,national,BANKS_PRINCIPAL_AFTER_2Y,Banks | Principal (forecast) | after 2 years,6644.993795,level
2026-04-01,national,BANKS_PRINCIPAL_AFTER_2Y,Banks | Principal (forecast) | after 2 years,6609.555878,level
2026-01-01,national,BANKS_PRINCIPAL_M01_03,Banks | Principal (forecast) | within 1-3 months,1823.493371,level
2026-04-01,national,BANKS_PRINCIPAL_M01_03,Banks | Principal (forecast) | within 1-3 months,3081.595896,level
2026-01-01,national,BANKS_PRINCIPAL_M04_06,Banks | Principal (forecast) | within 4-6 months,1554.305239,level
2026-04-01,national,BANKS_PRINCIPAL_M04_06,Banks | Principal (forecast) | within 4-6 months,1229.16262,level
2026-01-01,national,BANKS_PRINCIPAL_M07_09,Banks | Principal (forecast) | within 7-9 months,1082.317957,level
2026-04-01,national,BANKS_PRINCIPAL_M07_09,Banks | Principal (forecast) | within 7-9 months,998.930021,level
2026-01-01,national,BANKS_PRINCIPAL_M10_12,Banks | Principal (forecast) | within 10-12 months,1102.719841,level
2026-04-01,national,BANKS_PRINCIPAL_M10_12,Banks | Principal (forecast) | within 10-12 months,1037.310433,level
2026-01-01,national,BANKS_PRINCIPAL_M13_15,Banks | Principal (forecast) | within 13-15 months,367.28231,level
2026-04-01,national,BANKS_PRINCIPAL_M13_15,Banks | Principal (forecast) | within 13-15 months,1151.672673,level
2026-01-01,national,BANKS_PRINCIPAL_M16_18,Banks | Principal (forecast) | within 16-18 months,1138.17723,level
2026-04-01,national,BANKS_PRINCIPAL_M16_18,Banks | Principal (forecast) | within 16-18 months,623.451647,level
2026-01-01,national,BANKS_PRINCIPAL_M19_21,Banks | Principal (forecast) | within 19-21 months,520.10302,level
2026-04-01,national,BANKS_PRINCIPAL_M19_21,Banks | Principal (forecast) | within 19-21 months,609.423081,level
2026-01-01,national,BANKS_PRINCIPAL_M22_24,Banks | Principal (forecast) | within 22-24 months,670.831841,level
2026-04-01,national,BANKS_PRINCIPAL_M22_24,Banks | Principal (forecast) | within 22-24 months,289.223123,level
2026-01-01,national,BANKS_PRINCIPAL_NO_INFO,Banks | Principal (forecast) | no information,0.0,level
