date,region,item_code,item_name,value,transformation
2017-12-31,national,455735,Здания,11964.860474,level
2020-12-31,national,455735,Здания,17375.470326,level
2015-12-31,national,455735,Здания,9539.885875,level
2016-12-31,national,455735,Здания,11153.634163,level
2019-12-31,national,455735,Здания,15142.743614,level
2018-12-31,national,455735,Здания,13651.403292,level
2025-12-31,national,455735,Здания,30931.677709,level
2024-12-31,national,455735,Здания,26256.467265,level
2023-12-31,national,455735,Здания,23678.503263,level
2021-12-31,national,455735,Здания,18593.109239,level
2022-12-31,national,455735,Здания,21121.979845,level
2012-12-31,national,455735,Здания,5776.3422,level
2008-12-31,national,455735,Здания,2724.5432,level
2009-12-31,national,455735,Здания,3374.2843,level
2013-12-31,national,455735,Здания,6012.9248,level
2011-12-31,national,455735,Здания,4714.819,level
2010-12-31,national,455735,Здания,4312.1829,level
2014-12-31,national,455735,Здания,7196.2663,level
2017-12-31,national,455826,Сооружения,24362.858163,level
2020-12-31,national,455826,Сооружения,46634.425849,level
2015-12-31,national,455826,Сооружения,18402.990408,level
2016-12-31,national,455826,Сооружения,22202.954191,level
2019-12-31,national,455826,Сооружения,44003.260425,level
2018-12-31,national,455826,Сооружения,31808.058741,level
2025-12-31,national,455826,Сооружения,74164.189075,level
2024-12-31,national,455826,Сооружения,66620.85973,level
2023-12-31,national,455826,Сооружения,55783.354077,level
2021-12-31,national,455826,Сооружения,54279.467613,level
2022-12-31,national,455826,Сооружения,56329.781164,level
2012-12-31,national,455826,Сооружения,9529.9703,level
2008-12-31,national,455826,Сооружения,4101.151,level
2009-12-31,national,455826,Сооружения,5613.2654,level
2013-12-31,national,455826,Сооружения,12149.0588,level
2011-12-31,national,455826,Сооружения,8370.1969,level
2010-12-31,national,455826,Сооружения,7248.0425,level
2014-12-31,national,455826,Сооружения,15767.5347,level
2017-12-31,national,455885,Машины и оборудование,33510.756618,level
2020-12-31,national,455885,Машины и оборудование,53057.312795,level
2015-12-31,national,455885,Машины и оборудование,23406.209143,level
2016-12-31,national,455885,Машины и оборудование,30982.755794,level
2019-12-31,national,455885,Машины и оборудование,43441.793893,level
2018-12-31,national,455885,Машины и оборудование,38672.430024,level
2025-12-31,national,455885,Машины и оборудование,98210.669816,level
2024-12-31,national,455885,Машины и оборудование,91288.205271,level
2023-12-31,national,455885,Машины и оборудование,71666.718034,level
2021-12-31,national,455885,Машины и оборудование,57048.294015,level
2022-12-31,national,455885,Машины и оборудование,59068.711536,level
2012-12-31,national,455885,Машины и оборудование,13439.0763,level
2008-12-31,national,455885,Машины и оборудование,7593.0363,level
2009-12-31,national,455885,Машины и оборудование,9461.0766,level
2013-12-31,national,455885,Машины и оборудование,15780.2704,level
2011-12-31,national,455885,Машины и оборудование,11593.2874,level
2010-12-31,national,455885,Машины и оборудование,10581.7106,level
2014-12-31,national,455885,Машины и оборудование,21085.1536,level
2017-12-31,national,456307,Прочие основные средства,7314.361874,level
2020-12-31,national,456307,Прочие основные средства,9820.062403,level
2015-12-31,national,456307,Прочие основные средства,9957.440552,level
2016-12-31,national,456307,Прочие основные средства,6919.4545,level
2019-12-31,national,456307,Прочие основные средства,13606.799947,level
2018-12-31,national,456307,Прочие основные средства,6177.436502,level
2025-12-31,national,456307,Прочие основные средства,12036.976843,level
2024-12-31,national,456307,Прочие основные средства,10544.890084,level
2023-12-31,national,456307,Прочие основные средства,7738.157371,level
2021-12-31,national,456307,Прочие основные средства,9966.630197,level
2022-12-31,national,456307,Прочие основные средства,8564.8674,level
2012-12-31,national,456307,Прочие основные средства,1741.6063,level
2008-12-31,national,456307,Прочие основные средства,682.724,level
2009-12-31,national,456307,Прочие основные средства,1120.046,level
2013-12-31,national,456307,Прочие основные средства,1850.9073,level
2011-12-31,national,456307,Прочие основные средства,1430.0586,level
2010-12-31,national,456307,Прочие основные средства,1268.5526,level
2014-12-31,national,456307,Прочие основные средства,2492.2745,level
2017-12-31,national,456367,Биологические активы,166.767931,level
2020-12-31,national,456367,Биологические активы,371.141739,level
2015-12-31,national,456367,Биологические активы,131.413573,level
2016-12-31,national,456367,Биологические активы,143.01199,level
2019-12-31,national,456367,Биологические активы,191.080644,level
2018-12-31,national,456367,Биологические активы,146.879353,level
2025-12-31,national,456367,Биологические активы,346.105462,level
2024-12-31,national,456367,Биологические активы,280.156117,level
2023-12-31,national,456367,Биологические активы,290.442357,level
2021-12-31,national,456367,Биологические активы,428.139728,level
2022-12-31,national,456367,Биологические активы,399.018667,level
2012-12-31,national,456367,Биологические активы,60.57,level
2008-12-31,national,456367,Биологические активы,19.718,level
2009-12-31,national,456367,Биологические активы,26.991,level
2013-12-31,national,456367,Биологические активы,75.4597,level
2011-12-31,national,456367,Биологические активы,46.7139,level
2010-12-31,national,456367,Биологические активы,37.8875,level
