date,region,item_code,item_name,value,transformation
2017-12-31,national,A,"Сельское, лесное и рыбное хозяйство",938.692454,level
2020-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1463.50097,level
2015-12-31,national,A,"Сельское, лесное и рыбное хозяйство",681.672977,level
2016-12-31,national,A,"Сельское, лесное и рыбное хозяйство",805.007286,level
2019-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1336.624175,level
2018-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1108.174862,level
2025-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2774.564946,level
2024-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2332.087968,level
2023-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2165.596584,level
2021-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1778.144447,level
2022-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2073.256382,level
2001-12-31,national,A,"Сельское, лесное и рыбное хозяйство",71.3375,level
2003-12-31,national,A,"Сельское, лесное и рыбное хозяйство",84.40235,level
2012-12-31,national,A,"Сельское, лесное и рыбное хозяйство",497.0687,level
2013-12-31,national,A,"Сельское, лесное и рыбное хозяйство",559.3316,level
2004-12-31,national,A,"Сельское, лесное и рыбное хозяйство",103.78748,level
2008-12-31,national,A,"Сельское, лесное и рыбное хозяйство",275.5025,level
2007-12-31,national,A,"Сельское, лесное и рыбное хозяйство",201.08586,level
2009-12-31,national,A,"Сельское, лесное и рыбное хозяйство",349.0671,level
2000-12-31,national,A,"Сельское, лесное и рыбное хозяйство",55.77111,level
2002-12-31,national,A,"Сельское, лесное и рыбное хозяйство",71.83944,level
2006-12-31,national,A,"Сельское, лесное и рыбное хозяйство",153.57166,level
2005-12-31,national,A,"Сельское, лесное и рыбное хозяйство",125.5844,level
2011-12-31,national,A,"Сельское, лесное и рыбное хозяйство",430.9769,level
2010-12-31,national,A,"Сельское, лесное и рыбное хозяйство",419.9097,level
2014-12-31,national,A,"Сельское, лесное и рыбное хозяйство",634.2348,level
2017-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,7993.34129,level
2020-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,9740.144029,level
2015-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,6105.910637,level
2016-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,9740.960344,level
2019-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,8947.53321,level
2018-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,8999.981668,level
2025-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,27128.960478,level
2024-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,29789.924967,level
2023-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,18536.362494,level
2021-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,11227.664546,level
2022-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,13179.892436,level
2001-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,851.528,level
2003-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,921.72887,level
2012-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,3815.7909,level
2013-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,4102.1851,level
2004-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,923.49864,level
2008-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,2892.7341,level
2007-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,2076.61364,level
2009-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,3724.2756,level
2000-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,746.72043,level
2002-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,986.08282,level
2006-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,1254.23243,level
2005-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,907.95112,level
2011-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,3944.0638,level
2010-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,4273.5798,level
2014-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,4514.1624,level
2017-12-31,national,C,Обрабатывающая промышленность,4527.97387,level
2020-12-31,national,C,Обрабатывающая промышленность,6084.535083,level
2015-12-31,national,C,Обрабатывающая промышленность,2894.404127,level
2016-12-31,national,C,Обрабатывающая промышленность,3795.363897,level
2019-12-31,national,C,Обрабатывающая промышленность,5828.628385,level
2018-12-31,national,C,Обрабатывающая промышленность,5168.026772,level
2025-12-31,national,C,Обрабатывающая промышленность,10508.056383,level
2024-12-31,national,C,Обрабатывающая промышленность,8641.513357,level
2023-12-31,national,C,Обрабатывающая промышленность,7185.885438,level
2021-12-31,national,C,Обрабатывающая промышленность,6432.078457,level
2022-12-31,national,C,Обрабатывающая промышленность,6478.970622,level
2001-12-31,national,C,Обрабатывающая промышленность,364.0252,level
2003-12-31,national,C,Обрабатывающая промышленность,458.38581,level
2012-12-31,national,C,Обрабатывающая промышленность,2205.4615,level
2013-12-31,national,C,Обрабатывающая промышленность,2262.9023,level
2004-12-31,national,C,Обрабатывающая промышленность,566.23455,level
2008-12-31,national,C,Обрабатывающая промышленность,1288.2741,level
2007-12-31,national,C,Обрабатывающая промышленность,1201.90437,level
2009-12-31,national,C,Обрабатывающая промышленность,1597.6855,level
2000-12-31,national,C,Обрабатывающая промышленность,318.78637,level
2002-12-31,national,C,Обрабатывающая промышленность,400.16412,level
2006-12-31,national,C,Обрабатывающая промышленность,938.14418,level
2005-12-31,national,C,Обрабатывающая промышленность,665.2267,level
2011-12-31,national,C,Обрабатывающая промышленность,1991.6229,level
2010-12-31,national,C,Обрабатывающая промышленность,1762.1113,level
2014-12-31,national,C,Обрабатывающая промышленность,2472.3972,level
2017-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",2877.137262,level
2020-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",3996.289409,level
2015-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",2508.381544,level
2016-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",2790.083111,level
2019-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",3445.270666,level
2018-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",3133.203707,level
2025-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",6115.000074,level
2024-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",5596.24565,level
2023-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",5036.902319,level
2021-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",4678.856389,level
2022-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",4530.322779,level
2001-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",177.2545,level
2003-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",257.26278,level
2012-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",1218.5136,level
2013-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",1557.5163,level
2004-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",275.42701,level
2008-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",607.0944,level
2007-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",418.87588,level
2009-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",685.4637,level
2000-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",162.44144,level
2002-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",216.30014,level
2006-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",329.47678,level
2005-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",312.90102,level
2011-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",974.3908,level
2010-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",809.2416,level
2014-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",2331.4375,level
2017-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",625.552559,level
2020-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",1004.166847,level
2015-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",558.637397,level
2016-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",612.306754,level
2019-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",848.76921,level
2018-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",857.507454,level
2025-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",1574.850817,level
2024-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",1322.939831,level
2023-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",1209.048995,level
2021-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",1077.82245,level
2022-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",1081.666641,level
2001-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",20.1655,level
