date,region,item_code,item_name,value,transformation
2017-12-31,national,A,"Сельское, лесное и рыбное хозяйство",38.1,level
2020-12-31,national,A,"Сельское, лесное и рыбное хозяйство",41.9,level
2015-12-31,national,A,"Сельское, лесное и рыбное хозяйство",39.7,level
2016-12-31,national,A,"Сельское, лесное и рыбное хозяйство",39.3,level
2019-12-31,national,A,"Сельское, лесное и рыбное хозяйство",34.8,level
2018-12-31,national,A,"Сельское, лесное и рыбное хозяйство",37.2,level
2025-12-31,national,A,"Сельское, лесное и рыбное хозяйство",33.5,level
2024-12-31,national,A,"Сельское, лесное и рыбное хозяйство",35.3,level
2023-12-31,national,A,"Сельское, лесное и рыбное хозяйство",35.0,level
2021-12-31,national,A,"Сельское, лесное и рыбное хозяйство",38.4,level
2022-12-31,national,A,"Сельское, лесное и рыбное хозяйство",36.4,level
2001-12-31,national,A,"Сельское, лесное и рыбное хозяйство",41.4,level
2003-12-31,national,A,"Сельское, лесное и рыбное хозяйство",42.4,level
2008-12-31,national,A,"Сельское, лесное и рыбное хозяйство",28.6,level
2012-12-31,national,A,"Сельское, лесное и рыбное хозяйство",34.2,level
2009-12-31,national,A,"Сельское, лесное и рыбное хозяйство",29.8,level
2013-12-31,national,A,"Сельское, лесное и рыбное хозяйство",36.3,level
2000-12-31,national,A,"Сельское, лесное и рыбное хозяйство",43.2,level
2002-12-31,national,A,"Сельское, лесное и рыбное хозяйство",45.0,level
2006-12-31,national,A,"Сельское, лесное и рыбное хозяйство",35.7,level
2005-12-31,national,A,"Сельское, лесное и рыбное хозяйство",37.0,level
2011-12-31,national,A,"Сельское, лесное и рыбное хозяйство",34.5,level
2010-12-31,national,A,"Сельское, лесное и рыбное хозяйство",38.6,level
2014-12-31,national,A,"Сельское, лесное и рыбное хозяйство",37.9,level
2017-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,61.2,level
2020-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,66.6,level
