date,region,item_code,item_name,value,transformation
2010-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",983994.9,level
2011-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",1409038.6,level
2012-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",1330033.6,level
2013-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",1621232.5,level
2014-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",1717786.0,level
2015-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",1925866.5,level
2016-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",2140007.6,level
2017-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",2456284.6,level
2018-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",2717499.1,level
2019-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",3105560.7,level
2020-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",3808889.1,level
2021-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",4222766.5,level
2022-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",5444727.3,level
2023-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",4568671.3,level
2024-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",5306833.1,level
2025-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",6154545.0,level
2010-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",333406.2,level
2011-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",415899.6,level
2012-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",356109.0,level
2013-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",419426.9,level
2014-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",477933.7,level
2015-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",520871.1,level
2016-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",955212.6,level
2017-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",1237729.3,level
2018-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",1399849.6,level
2019-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",1680160.6,level
2020-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",2100519.7,level
2021-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",2345955.2,level
2022-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",3533820.0,level
2023-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",1633716.4,level
2024-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",2123568.8,level
2025-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",2749102.6,level
2010-12-31,national,A_S13,"Сельское, лесное и рыбное хозяйство — S13",41969.1,level
2011-12-31,national,A_S13,"Сельское, лесное и рыбное хозяйство — S13",55886.4,level
2012-12-31,national,A_S13,"Сельское, лесное и рыбное хозяйство — S13",66407.4,level
2013-12-31,national,A_S13,"Сельское, лесное и рыбное хозяйство — S13",65132.5,level
2014-12-31,national,A_S13,"Сельское, лесное и рыбное хозяйство — S13",77914.4,level
2015-12-31,national,A_S13,"Сельское, лесное и рыбное хозяйство — S13",81449.6,level
2016-12-31,national,A_S13,"Сельское, лесное и рыбное хозяйство — S13",89381.4,level
2017-12-31,national,A_S13,"Сельское, лесное и рыбное хозяйство — S13",36490.8,level
2018-12-31,national,A_S13,"Сельское, лесное и рыбное хозяйство — S13",37278.0,level
2019-12-31,national,A_S13,"Сельское, лесное и рыбное хозяйство — S13",45304.5,level
2020-12-31,national,A_S13,"Сельское, лесное и рыбное хозяйство — S13",48791.2,level
2021-12-31,national,A_S13,"Сельское, лесное и рыбное хозяйство — S13",50801.1,level
2022-12-31,national,A_S13,"Сельское, лесное и рыбное хозяйство — S13",64078.6,level
2010-12-31,national,A_S14,"Сельское, лесное и рыбное хозяйство — S14",608619.6,level
2011-12-31,national,A_S14,"Сельское, лесное и рыбное хозяйство — S14",937252.6,level
2012-12-31,national,A_S14,"Сельское, лесное и рыбное хозяйство — S14",907517.2,level
2013-12-31,national,A_S14,"Сельское, лесное и рыбное хозяйство — S14",1136673.1,level
2014-12-31,national,A_S14,"Сельское, лесное и рыбное хозяйство — S14",1161937.9,level
2015-12-31,national,A_S14,"Сельское, лесное и рыбное хозяйство — S14",1323545.8,level
2016-12-31,national,A_S14,"Сельское, лесное и рыбное хозяйство — S14",1095413.6,level
2017-12-31,national,A_S14,"Сельское, лесное и рыбное хозяйство — S14",1182064.5,level
2018-12-31,national,A_S14,"Сельское, лесное и рыбное хозяйство — S14",1280371.5,level
2019-12-31,national,A_S14,"Сельское, лесное и рыбное хозяйство — S14",1380095.6,level
2020-12-31,national,A_S14,"Сельское, лесное и рыбное хозяйство — S14",1659578.2,level
2021-12-31,national,A_S14,"Сельское, лесное и рыбное хозяйство — S14",1826010.2,level
2022-12-31,national,A_S14,"Сельское, лесное и рыбное хозяйство — S14",1846828.7,level
2023-12-31,national,A_S14,"Сельское, лесное и рыбное хозяйство — S14",2934954.9,level
2024-12-31,national,A_S14,"Сельское, лесное и рыбное хозяйство — S14",3183264.3,level
2025-12-31,national,A_S14,"Сельское, лесное и рыбное хозяйство — S14",3405442.4,level
2010-12-31,national,B_S1,Горнодобывающая промышленность и разработка карьеров — S1,4249267.9,level
2011-12-31,national,B_S1,Горнодобывающая промышленность и разработка карьеров — S1,5003252.9,level
2012-12-31,national,B_S1,Горнодобывающая промышленность и разработка карьеров — S1,5288740.5,level
2013-12-31,national,B_S1,Горнодобывающая промышленность и разработка карьеров — S1,5477694.0,level
2014-12-31,national,B_S1,Горнодобывающая промышленность и разработка карьеров — S1,5982772.0,level
2015-12-31,national,B_S1,Горнодобывающая промышленность и разработка карьеров — S1,5170567.7,level
2016-12-31,national,B_S1,Горнодобывающая промышленность и разработка карьеров — S1,6047727.3,level
2017-12-31,national,B_S1,Горнодобывающая промышленность и разработка карьеров — S1,7421694.4,level
2018-12-31,national,B_S1,Горнодобывающая промышленность и разработка карьеров — S1,9204650.0,level
2019-12-31,national,B_S1,Горнодобывающая промышленность и разработка карьеров — S1,10032109.5,level
2020-12-31,national,B_S1,Горнодобывающая промышленность и разработка карьеров — S1,8596835.5,level
2021-12-31,national,B_S1,Горнодобывающая промышленность и разработка карьеров — S1,11886878.4,level
2022-12-31,national,B_S1,Горнодобывающая промышленность и разработка карьеров — S1,15210887.2,level
2023-12-31,national,B_S1,Горнодобывающая промышленность и разработка карьеров — S1,15365189.3,level
2024-12-31,national,B_S1,Горнодобывающая промышленность и разработка карьеров — S1,16430049.2,level
2025-12-31,national,B_S1,Горнодобывающая промышленность и разработка карьеров — S1,18643096.6,level
2010-12-31,national,B_S11,Горнодобывающая промышленность и разработка карьеров — S11,4249267.9,level
2011-12-31,national,B_S11,Горнодобывающая промышленность и разработка карьеров — S11,5003252.9,level
2012-12-31,national,B_S11,Горнодобывающая промышленность и разработка карьеров — S11,5288740.5,level
2013-12-31,national,B_S11,Горнодобывающая промышленность и разработка карьеров — S11,5477694.0,level
2014-12-31,national,B_S11,Горнодобывающая промышленность и разработка карьеров — S11,5982772.0,level
2015-12-31,national,B_S11,Горнодобывающая промышленность и разработка карьеров — S11,5170567.7,level
2016-12-31,national,B_S11,Горнодобывающая промышленность и разработка карьеров — S11,6047727.3,level
2017-12-31,national,B_S11,Горнодобывающая промышленность и разработка карьеров — S11,7421694.4,level
2018-12-31,national,B_S11,Горнодобывающая промышленность и разработка карьеров — S11,9204650.0,level
2019-12-31,national,B_S11,Горнодобывающая промышленность и разработка карьеров — S11,10032109.5,level
2020-12-31,national,B_S11,Горнодобывающая промышленность и разработка карьеров — S11,8596835.5,level
2021-12-31,national,B_S11,Горнодобывающая промышленность и разработка карьеров — S11,11886878.4,level
2022-12-31,national,B_S11,Горнодобывающая промышленность и разработка карьеров — S11,15210887.2,level
2023-12-31,national,B_S11,Горнодобывающая промышленность и разработка карьеров — S11,15363385.7,level
2024-12-31,national,B_S11,Горнодобывающая промышленность и разработка карьеров — S11,16428154.0,level
2025-12-31,national,B_S11,Горнодобывающая промышленность и разработка карьеров — S11,18640981.9,level
2023-12-31,national,B_S14,Горнодобывающая промышленность и разработка карьеров — S14,1803.6,level
