date,region,item_code,item_name,value,transformation
2010-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",1964859.3,level
2011-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",2486298.4,level
2012-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",2450175.1,level
2013-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",2828871.6,level
2014-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",2962218.5,level
2015-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",3704132.9,level
2016-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",3989279.1,level
2017-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",4818149.2,level
2018-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",5222888.5,level
2019-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",5797448.5,level
2020-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",6934262.6,level
2021-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",8699240.7,level
2022-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",11216631.7,level
2023-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",8742003.6,level
2024-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",9409870.7,level
2025-12-31,national,A_S1,"Сельское, лесное и рыбное хозяйство — S1",11468690.2,level
2010-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",648482.0,level
2011-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",748898.9,level
2012-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",689371.6,level
2013-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",795939.7,level
2014-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",803703.8,level
2015-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",1003079.2,level
2016-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",1896971.3,level
2017-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",2561405.2,level
2018-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",2810071.4,level
2019-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",3208828.3,level
2020-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",3966620.6,level
2021-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",5130383.5,level
2022-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",7174434.4,level
2023-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",3119301.7,level
2024-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",3712914.3,level
2025-12-31,national,A_S11,"Сельское, лесное и рыбное хозяйство — S11",5064801.3,level
2010-12-31,national,A_S13,"Сельское, лесное и рыбное хозяйство — S13",77520.3,level
2011-12-31,national,A_S13,"Сельское, лесное и рыбное хозяйство — S13",93295.1,level
2012-12-31,national,A_S13,"Сельское, лесное и рыбное хозяйство — S13",113791.8,level
2013-12-31,national,A_S13,"Сельское, лесное и рыбное хозяйство — S13",103481.0,level
2014-12-31,national,A_S13,"Сельское, лесное и рыбное хозяйство — S13",126882.6,level
2015-12-31,national,A_S13,"Сельское, лесное и рыбное хозяйство — S13",144789.4,level
2016-12-31,national,A_S13,"Сельское, лесное и рыбное хозяйство — S13",158000.3,level
2017-12-31,national,A_S13,"Сельское, лесное и рыбное хозяйство — S13",105422.2,level
2018-12-31,national,A_S13,"Сельское, лесное и рыбное хозяйство — S13",112130.5,level
2019-12-31,national,A_S13,"Сельское, лесное и рыбное хозяйство — S13",124062.4,level
2020-12-31,national,A_S13,"Сельское, лесное и рыбное хозяйство — S13",132823.1,level
2021-12-31,national,A_S13,"Сельское, лесное и рыбное хозяйство — S13",142106.4,level
2022-12-31,national,A_S13,"Сельское, лесное и рыбное хозяйство — S13",168733.2,level
2010-12-31,national,A_S14,"Сельское, лесное и рыбное хозяйство — S14",1238857.0,level
2011-12-31,national,A_S14,"Сельское, лесное и рыбное хозяйство — S14",1644104.4,level
2012-12-31,national,A_S14,"Сельское, лесное и рыбное хозяйство — S14",1647011.7,level
2013-12-31,national,A_S14,"Сельское, лесное и рыбное хозяйство — S14",1929450.9,level
2014-12-31,national,A_S14,"Сельское, лесное и рыбное хозяйство — S14",2031632.1,level
2015-12-31,national,A_S14,"Сельское, лесное и рыбное хозяйство — S14",2556264.3,level
2016-12-31,national,A_S14,"Сельское, лесное и рыбное хозяйство — S14",1934307.5,level
2017-12-31,national,A_S14,"Сельское, лесное и рыбное хозяйство — S14",2151321.8,level
2018-12-31,national,A_S14,"Сельское, лесное и рыбное хозяйство — S14",2300686.6,level
