date,region,item_code,item_name,value,transformation
2007-12-31,national,EXPORTS,экспорт товаров и услуг,111.6,level
2008-12-31,national,EXPORTS,экспорт товаров и услуг,143.5,level
2009-12-31,national,EXPORTS,экспорт товаров и услуг,88.0,level
2010-12-31,national,EXPORTS,экспорт товаров и услуг,131.6,level
2011-12-31,national,EXPORTS,экспорт товаров и услуг,135.4,level
2012-12-31,national,EXPORTS,экспорт товаров и услуг,99.5,level
2013-12-31,national,EXPORTS,экспорт товаров и услуг,98.9,level
2014-12-31,national,EXPORTS,экспорт товаров и услуг,115.2,level
2015-12-31,national,EXPORTS,экспорт товаров и услуг,77.9,level
2016-12-31,national,EXPORTS,экспорт товаров и услуг,134.3,level
2017-12-31,national,EXPORTS,экспорт товаров и услуг,114.3,level
2018-12-31,national,EXPORTS,экспорт товаров и услуг,120.5,level
2019-12-31,national,EXPORTS,экспорт товаров и услуг,106.7,level
2020-12-31,national,EXPORTS,экспорт товаров и услуг,96.0,level
2021-12-31,national,EXPORTS,экспорт товаров и услуг,128.0,level
2022-12-31,national,EXPORTS,экспорт товаров и услуг,128.5,level
2023-12-31,national,EXPORTS,экспорт товаров и услуг,94.2,level
2024-12-31,national,EXPORTS,экспорт товаров и услуг,102.6,level
2025-12-31,national,EXPORTS,экспорт товаров и услуг,109.2,level
2007-12-31,national,FINAL_CONSUMPTION,Расходы на конечное потребление,113.4,level
2008-12-31,national,FINAL_CONSUMPTION,Расходы на конечное потребление,114.1,level
2009-12-31,national,FINAL_CONSUMPTION,Расходы на конечное потребление,114.2,level
2010-12-31,national,FINAL_CONSUMPTION,Расходы на конечное потребление,111.0,level
2011-12-31,national,FINAL_CONSUMPTION,Расходы на конечное потребление,108.3,level
2012-12-31,national,FINAL_CONSUMPTION,Расходы на конечное потребление,106.3,level
2013-12-31,national,FINAL_CONSUMPTION,Расходы на конечное потребление,107.2,level
2014-12-31,national,FINAL_CONSUMPTION,Расходы на конечное потребление,105.6,level
2015-12-31,national,FINAL_CONSUMPTION,Расходы на конечное потребление,111.6,level
2016-12-31,national,FINAL_CONSUMPTION,Расходы на конечное потребление,114.7,level
2017-12-31,national,FINAL_CONSUMPTION,Расходы на конечное потребление,106.0,level
2018-12-31,national,FINAL_CONSUMPTION,Расходы на конечное потребление,106.0,level
2019-12-31,national,FINAL_CONSUMPTION,Расходы на конечное потребление,106.5,level
2020-12-31,national,FINAL_CONSUMPTION,Расходы на конечное потребление,107.2,level
2021-12-31,national,FINAL_CONSUMPTION,Расходы на конечное потребление,108.7,level
2022-12-31,national,FINAL_CONSUMPTION,Расходы на конечное потребление,115.0,level
2023-12-31,national,FINAL_CONSUMPTION,Расходы на конечное потребление,114.3,level
2024-12-31,national,FINAL_CONSUMPTION,Расходы на конечное потребление,108.8,level
2025-12-31,national,FINAL_CONSUMPTION,Расходы на конечное потребление,110.9,level
2007-12-31,national,GDP,Валовой внутренний продукт,115.5,level
2008-12-31,national,GDP,Валовой внутренний продукт,121.0,level
2009-12-31,national,GDP,Валовой внутренний продукт,104.7,level
2010-12-31,national,GDP,Валовой внутренний продукт,119.6,level
2011-12-31,national,GDP,Валовой внутренний продукт,118.9,level
2012-12-31,national,GDP,Валовой внутренний продукт,104.8,level
2013-12-31,national,GDP,Валовой внутренний продукт,109.5,level
2014-12-31,national,GDP,Валовой внутренний продукт,105.8,level
2015-12-31,national,GDP,Валовой внутренний продукт,101.9,level
2016-12-31,national,GDP,Валовой внутренний продукт,113.6,level
2017-12-31,national,GDP,Валовой внутренний продукт,108.4,level
2018-12-31,national,GDP,Валовой внутренний продукт,109.2,level
2019-12-31,national,GDP,Валовой внутренний продукт,107.6,level
2020-12-31,national,GDP,Валовой внутренний продукт,104.2,level
2021-12-31,national,GDP,Валовой внутренний продукт,113.9,level
2022-12-31,national,GDP,Валовой внутренний продукт,119.7,level
2023-12-31,national,GDP,Валовой внутренний продукт,111.2,level
2024-12-31,national,GDP,Валовой внутренний продукт,109.0,level
2025-12-31,national,GDP,Валовой внутренний продукт,109.7,level
2007-12-31,national,GFCF,валовое накопление основного капитала,106.6,level
2008-12-31,national,GFCF,валовое накопление основного капитала,110.6,level
2009-12-31,national,GFCF,валовое накопление основного капитала,110.6,level
2010-12-31,national,GFCF,валовое накопление основного капитала,108.2,level
2011-12-31,national,GFCF,валовое накопление основного капитала,104.7,level
2012-12-31,national,GFCF,валовое накопление основного капитала,106.2,level
2013-12-31,national,GFCF,валовое накопление основного капитала,105.6,level
2014-12-31,national,GFCF,валовое накопление основного капитала,104.0,level
2015-12-31,national,GFCF,валовое накопление основного капитала,105.0,level
2016-12-31,national,GFCF,валовое накопление основного капитала,110.8,level
2017-12-31,national,GFCF,валовое накопление основного капитала,105.4,level
2018-12-31,national,GFCF,валовое накопление основного капитала,105.3,level
2019-12-31,national,GFCF,валовое накопление основного капитала,109.5,level
2020-12-31,national,GFCF,валовое накопление основного капитала,107.2,level
2021-12-31,national,GFCF,валовое накопление основного капитала,107.9,level
2022-12-31,national,GFCF,валовое накопление основного капитала,114.4,level
2023-12-31,national,GFCF,валовое накопление основного капитала,114.6,level
2024-12-31,national,GFCF,валовое накопление основного капитала,105.5,level
2025-12-31,national,GFCF,валовое накопление основного капитала,106.0,level
2007-12-31,national,GOVERNMENT,органов государственного управления,119.8,level
