date,region,item_code,item_name,value,transformation
2007-01-01,national,EXPORTS,экспорт товаров и услуг,1355581.3,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2007-04-01,national,EXPORTS,экспорт товаров и услуг,2903471.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2007-07-01,national,EXPORTS,экспорт товаров и услуг,4514775.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2007-10-01,national,EXPORTS,экспорт товаров и услуг,6336595.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2008-01-01,national,EXPORTS,экспорт товаров и услуг,2029163.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2008-04-01,national,EXPORTS,экспорт товаров и услуг,4509282.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2008-07-01,national,EXPORTS,экспорт товаров и услуг,7205131.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2008-10-01,national,EXPORTS,экспорт товаров и услуг,9173663.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2009-01-01,national,EXPORTS,экспорт товаров и услуг,1264536.7,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2009-04-01,national,EXPORTS,экспорт товаров и услуг,2823472.3,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2009-07-01,national,EXPORTS,экспорт товаров и услуг,4863847.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2009-10-01,national,EXPORTS,экспорт товаров и услуг,7115731.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-01-01,national,EXPORTS,экспорт товаров и услуг,2134610.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-04-01,national,EXPORTS,экспорт товаров и услуг,4680321.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-07-01,national,EXPORTS,экспорт товаров и услуг,7119260.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-10-01,national,EXPORTS,экспорт товаров и услуг,9652096.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-01-01,national,EXPORTS,экспорт товаров и услуг,2557371.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-04-01,national,EXPORTS,экспорт товаров и услуг,6444974.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-07-01,national,EXPORTS,экспорт товаров и услуг,9874565.7,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-10-01,national,EXPORTS,экспорт товаров и услуг,13123039.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-01-01,national,EXPORTS,экспорт товаров и услуг,3243465.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-04-01,national,EXPORTS,экспорт товаров и услуг,6908342.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-07-01,national,EXPORTS,экспорт товаров и услуг,10319759.3,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-10-01,national,EXPORTS,экспорт товаров и услуг,13680694.3,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
