date,region,item_code,item_name,value,transformation
2021-12-31,ABY,GDP,Валовой региональный продукт,107.0,level
2022-12-31,ABY,GDP,Валовой региональный продукт,102.0,level
2023-12-31,ABY,GDP,Валовой региональный продукт,105.5,level
2024-12-31,ABY,GDP,Валовой региональный продукт,105.7,level
2025-12-31,ABY,GDP,Валовой региональный продукт,101.9,level
2001-12-31,AKM,GDP,Валовой региональный продукт,110.3,level
2002-12-31,AKM,GDP,Валовой региональный продукт,102.9,level
2003-12-31,AKM,GDP,Валовой региональный продукт,106.7,level
2004-12-31,AKM,GDP,Валовой региональный продукт,100.7,level
2005-12-31,AKM,GDP,Валовой региональный продукт,111.8,level
2006-12-31,AKM,GDP,Валовой региональный продукт,113.1,level
2007-12-31,AKM,GDP,Валовой региональный продукт,118.0,level
2008-12-31,AKM,GDP,Валовой региональный продукт,101.9,level
2009-12-31,AKM,GDP,Валовой региональный продукт,107.6,level
2010-12-31,AKM,GDP,Валовой региональный продукт,96.3,level
2011-12-31,AKM,GDP,Валовой региональный продукт,116.2,level
2012-12-31,AKM,GDP,Валовой региональный продукт,94.3,level
2013-12-31,AKM,GDP,Валовой региональный продукт,105.0,level
2014-12-31,AKM,GDP,Валовой региональный продукт,104.7,level
2015-12-31,AKM,GDP,Валовой региональный продукт,101.9,level
2016-12-31,AKM,GDP,Валовой региональный продукт,102.9,level
2017-12-31,AKM,GDP,Валовой региональный продукт,102.4,level
2018-12-31,AKM,GDP,Валовой региональный продукт,103.8,level
2019-12-31,AKM,GDP,Валовой региональный продукт,102.9,level
2020-12-31,AKM,GDP,Валовой региональный продукт,102.7,level
2021-12-31,AKM,GDP,Валовой региональный продукт,103.3,level
2022-12-31,AKM,GDP,Валовой региональный продукт,107.7,level
2023-12-31,AKM,GDP,Валовой региональный продукт,99.5,level
2024-12-31,AKM,GDP,Валовой региональный продукт,109.0,level
2025-12-31,AKM,GDP,Валовой региональный продукт,105.9,level
2001-12-31,AKT,GDP,Валовой региональный продукт,115.8,level
2002-12-31,AKT,GDP,Валовой региональный продукт,115.2,level
2003-12-31,AKT,GDP,Валовой региональный продукт,113.6,level
2004-12-31,AKT,GDP,Валовой региональный продукт,102.5,level
2005-12-31,AKT,GDP,Валовой региональный продукт,109.3,level
2006-12-31,AKT,GDP,Валовой региональный продукт,103.3,level
2007-12-31,AKT,GDP,Валовой региональный продукт,107.6,level
2008-12-31,AKT,GDP,Валовой региональный продукт,105.5,level
2009-12-31,AKT,GDP,Валовой региональный продукт,103.2,level
2010-12-31,AKT,GDP,Валовой региональный продукт,109.2,level
2011-12-31,AKT,GDP,Валовой региональный продукт,106.5,level
2012-12-31,AKT,GDP,Валовой региональный продукт,107.6,level
2013-12-31,AKT,GDP,Валовой региональный продукт,104.7,level
2014-12-31,AKT,GDP,Валовой региональный продукт,104.5,level
2015-12-31,AKT,GDP,Валовой региональный продукт,96.9,level
2016-12-31,AKT,GDP,Валовой региональный продукт,101.0,level
2017-12-31,AKT,GDP,Валовой региональный продукт,105.0,level
2018-12-31,AKT,GDP,Валовой региональный продукт,105.3,level
2019-12-31,AKT,GDP,Валовой региональный продукт,104.9,level
2020-12-31,AKT,GDP,Валовой региональный продукт,99.9,level
2021-12-31,AKT,GDP,Валовой региональный продукт,103.1,level
2022-12-31,AKT,GDP,Валовой региональный продукт,100.1,level
2023-12-31,AKT,GDP,Валовой региональный продукт,98.9,level
2024-12-31,AKT,GDP,Валовой региональный продукт,105.6,level
2025-12-31,AKT,GDP,Валовой региональный продукт,103.5,level
2001-12-31,ALA,GDP,Валовой региональный продукт,119.3,level
2002-12-31,ALA,GDP,Валовой региональный продукт,111.4,level
2003-12-31,ALA,GDP,Валовой региональный продукт,112.1,level
2004-12-31,ALA,GDP,Валовой региональный продукт,116.3,level
2005-12-31,ALA,GDP,Валовой региональный продукт,114.5,level
2006-12-31,ALA,GDP,Валовой региональный продукт,115.8,level
2007-12-31,ALA,GDP,Валовой региональный продукт,112.7,level
2008-12-31,ALA,GDP,Валовой региональный продукт,96.9,level
2009-12-31,ALA,GDP,Валовой региональный продукт,98.4,level
2010-12-31,ALA,GDP,Валовой региональный продукт,110.4,level
2011-12-31,ALA,GDP,Валовой региональный продукт,109.4,level
2012-12-31,ALA,GDP,Валовой региональный продукт,109.6,level
2013-12-31,ALA,GDP,Валовой региональный продукт,114.8,level
2014-12-31,ALA,GDP,Валовой региональный продукт,107.0,level
2015-12-31,ALA,GDP,Валовой региональный продукт,104.2,level
2016-12-31,ALA,GDP,Валовой региональный продукт,102.6,level
2017-12-31,ALA,GDP,Валовой региональный продукт,102.8,level
2018-12-31,ALA,GDP,Валовой региональный продукт,103.0,level
2019-12-31,ALA,GDP,Валовой региональный продукт,104.5,level
2020-12-31,ALA,GDP,Валовой региональный продукт,95.3,level
2021-12-31,ALA,GDP,Валовой региональный продукт,106.0,level
2022-12-31,ALA,GDP,Валовой региональный продукт,105.0,level
2023-12-31,ALA,GDP,Валовой региональный продукт,108.9,level
2024-12-31,ALA,GDP,Валовой региональный продукт,107.6,level
2025-12-31,ALA,GDP,Валовой региональный продукт,104.9,level
2001-12-31,ALM,GDP,Валовой региональный продукт,115.8,level
2002-12-31,ALM,GDP,Валовой региональный продукт,111.0,level
2003-12-31,ALM,GDP,Валовой региональный продукт,109.5,level
2004-12-31,ALM,GDP,Валовой региональный продукт,109.8,level
2005-12-31,ALM,GDP,Валовой региональный продукт,111.9,level
2006-12-31,ALM,GDP,Валовой региональный продукт,108.7,level
