date,region,item_code,item_name,value,transformation
2021-10-01,ABY,GDP,Валовой региональный продукт,107.0,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2022-04-01,ABY,GDP,Валовой региональный продукт,103.0,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2022-07-01,ABY,GDP,Валовой региональный продукт,102.0,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2022-10-01,ABY,GDP,Валовой региональный продукт,102.0,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2023-01-01,ABY,GDP,Валовой региональный продукт,110.6,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2023-04-01,ABY,GDP,Валовой региональный продукт,108.7,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2023-07-01,ABY,GDP,Валовой региональный продукт,107.2,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2023-10-01,ABY,GDP,Валовой региональный продукт,105.5,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2024-01-01,ABY,GDP,Валовой региональный продукт,104.1,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2024-04-01,ABY,GDP,Валовой региональный продукт,103.2,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2024-07-01,ABY,GDP,Валовой региональный продукт,104.2,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2024-10-01,ABY,GDP,Валовой региональный продукт,105.7,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2025-01-01,ABY,GDP,Валовой региональный продукт,100.4,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2025-04-01,ABY,GDP,Валовой региональный продукт,104.4,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2025-07-01,ABY,GDP,Валовой региональный продукт,101.5,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2025-10-01,ABY,GDP,Валовой региональный продукт,101.9,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2026-01-01,ABY,GDP,Валовой региональный продукт,103.7,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2011-07-01,AKM,GDP,Валовой региональный продукт,110.0,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2011-10-01,AKM,GDP,Валовой региональный продукт,116.2,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2012-01-01,AKM,GDP,Валовой региональный продукт,100.5,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2012-04-01,AKM,GDP,Валовой региональный продукт,101.9,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2012-07-01,AKM,GDP,Валовой региональный продукт,102.1,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2012-10-01,AKM,GDP,Валовой региональный продукт,94.3,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2013-01-01,AKM,GDP,Валовой региональный продукт,104.2,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2013-04-01,AKM,GDP,Валовой региональный продукт,100.7,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2013-07-01,AKM,GDP,Валовой региональный продукт,110.9,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2013-10-01,AKM,GDP,Валовой региональный продукт,105.0,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2014-01-01,AKM,GDP,Валовой региональный продукт,105.4,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2014-04-01,AKM,GDP,Валовой региональный продукт,104.0,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2014-07-01,AKM,GDP,Валовой региональный продукт,106.1,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2014-10-01,AKM,GDP,Валовой региональный продукт,104.7,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2015-01-01,AKM,GDP,Валовой региональный продукт,102.9,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2015-04-01,AKM,GDP,Валовой региональный продукт,101.6,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2015-07-01,AKM,GDP,Валовой региональный продукт,101.7,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2015-10-01,AKM,GDP,Валовой региональный продукт,101.9,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2016-01-01,AKM,GDP,Валовой региональный продукт,102.0,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2016-04-01,AKM,GDP,Валовой региональный продукт,101.3,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2016-07-01,AKM,GDP,Валовой региональный продукт,101.7,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2016-10-01,AKM,GDP,Валовой региональный продукт,102.9,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2017-01-01,AKM,GDP,Валовой региональный продукт,102.8,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2017-04-01,AKM,GDP,Валовой региональный продукт,101.2,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2017-07-01,AKM,GDP,Валовой региональный продукт,101.5,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2017-10-01,AKM,GDP,Валовой региональный продукт,102.4,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2018-01-01,AKM,GDP,Валовой региональный продукт,105.7,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2018-04-01,AKM,GDP,Валовой региональный продукт,104.8,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2018-07-01,AKM,GDP,Валовой региональный продукт,101.7,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2018-10-01,AKM,GDP,Валовой региональный продукт,103.8,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2019-01-01,AKM,GDP,Валовой региональный продукт,102.7,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2019-04-01,AKM,GDP,Валовой региональный продукт,105.9,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2019-07-01,AKM,GDP,Валовой региональный продукт,106.0,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2019-10-01,AKM,GDP,Валовой региональный продукт,102.9,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2020-01-01,AKM,GDP,Валовой региональный продукт,102.3,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
2020-04-01,AKM,GDP,Валовой региональный продукт,101.3,"as published: the year-to-date period (January-March, January-June, January-September, the year) in % of the same period of the previous year -- not converted to discrete quarters"
