date,region,item_code,item_name,value,transformation
2010-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2468.5,level
2011-12-31,national,A,"Сельское, лесное и рыбное хозяйство",42005.8,level
2012-12-31,national,A,"Сельское, лесное и рыбное хозяйство",712.3,level
2013-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1677.7,level
2014-12-31,national,A,"Сельское, лесное и рыбное хозяйство",955.9,level
2015-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1041.8,level
2016-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2865.7,level
2017-12-31,national,A,"Сельское, лесное и рыбное хозяйство",4950.9,level
2018-12-31,national,A,"Сельское, лесное и рыбное хозяйство",6999.3,level
2019-12-31,national,A,"Сельское, лесное и рыбное хозяйство",6720.6,level
2020-12-31,national,A,"Сельское, лесное и рыбное хозяйство",8402.1,level
2021-12-31,national,A,"Сельское, лесное и рыбное хозяйство",21113.6,level
2022-12-31,national,A,"Сельское, лесное и рыбное хозяйство",31804.4,level
2023-12-31,national,A,"Сельское, лесное и рыбное хозяйство",20911.5,level
2024-12-31,national,A,"Сельское, лесное и рыбное хозяйство",28455.8,level
2025-12-31,national,A,"Сельское, лесное и рыбное хозяйство",15944.8,level
2010-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,1032147.2,level
2011-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,1195277.1,level
2012-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,1257662.5,level
2013-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,1379283.4,level
2014-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,1590819.1,level
2015-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,1503601.1,level
2016-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,1807665.7,level
2017-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,2256195.1,level
2018-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,2761395.0,level
2019-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,2819022.8,level
2020-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,2849851.0,level
2021-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,3459081.6,level
2022-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,3985252.4,level
2023-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,4248744.3,level
2024-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,4324711.6,level
