date,region,item_code,item_name,value,transformation
2021-10-01,ABY,A,"Сельское, лесное и рыбное хозяйство",246471.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2022-04-01,ABY,A,"Сельское, лесное и рыбное хозяйство",66929.7,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2022-07-01,ABY,A,"Сельское, лесное и рыбное хозяйство",149298.7,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2022-10-01,ABY,A,"Сельское, лесное и рыбное хозяйство",337266.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2023-01-01,ABY,A,"Сельское, лесное и рыбное хозяйство",30091.1,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2023-04-01,ABY,A,"Сельское, лесное и рыбное хозяйство",77719.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2023-07-01,ABY,A,"Сельское, лесное и рыбное хозяйство",166290.7,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2023-10-01,ABY,A,"Сельское, лесное и рыбное хозяйство",262364.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2024-01-01,ABY,A,"Сельское, лесное и рыбное хозяйство",36282.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2024-04-01,ABY,A,"Сельское, лесное и рыбное хозяйство",77639.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2024-07-01,ABY,A,"Сельское, лесное и рыбное хозяйство",171584.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2024-10-01,ABY,A,"Сельское, лесное и рыбное хозяйство",310900.1,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2025-01-01,ABY,A,"Сельское, лесное и рыбное хозяйство",34187.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2025-04-01,ABY,A,"Сельское, лесное и рыбное хозяйство",71109.4,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2025-07-01,ABY,A,"Сельское, лесное и рыбное хозяйство",191196.4,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2025-10-01,ABY,A,"Сельское, лесное и рыбное хозяйство",401893.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2026-01-01,ABY,A,"Сельское, лесное и рыбное хозяйство",44485.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-01-01,AKM,A,"Сельское, лесное и рыбное хозяйство",6889.4,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-04-01,AKM,A,"Сельское, лесное и рыбное хозяйство",16609.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-07-01,AKM,A,"Сельское, лесное и рыбное хозяйство",53924.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-10-01,AKM,A,"Сельское, лесное и рыбное хозяйство",79126.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-01-01,AKM,A,"Сельское, лесное и рыбное хозяйство",9108.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-04-01,AKM,A,"Сельское, лесное и рыбное хозяйство",21920.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-07-01,AKM,A,"Сельское, лесное и рыбное хозяйство",69721.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-10-01,AKM,A,"Сельское, лесное и рыбное хозяйство",171431.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-01-01,AKM,A,"Сельское, лесное и рыбное хозяйство",8894.1,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-04-01,AKM,A,"Сельское, лесное и рыбное хозяйство",19050.7,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-07-01,AKM,A,"Сельское, лесное и рыбное хозяйство",76015.4,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-10-01,AKM,A,"Сельское, лесное и рыбное хозяйство",102084.4,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-01-01,AKM,A,"Сельское, лесное и рыбное хозяйство",9707.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-04-01,AKM,A,"Сельское, лесное и рыбное хозяйство",22242.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-07-01,AKM,A,"Сельское, лесное и рыбное хозяйство",101304.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-10-01,AKM,A,"Сельское, лесное и рыбное хозяйство",151599.7,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-01-01,AKM,A,"Сельское, лесное и рыбное хозяйство",10965.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-04-01,AKM,A,"Сельское, лесное и рыбное хозяйство",24665.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-07-01,AKM,A,"Сельское, лесное и рыбное хозяйство",103497.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-10-01,AKM,A,"Сельское, лесное и рыбное хозяйство",161578.4,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
