date,region,item_code,item_name,value,transformation
2010-12-31,national,A,"Сельское, лесное и рыбное хозяйство",983994.9,level
2011-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1409038.6,level
2012-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1330033.6,level
2013-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1621232.5,level
2014-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1717786.0,level
2015-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1925866.5,level
2016-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2140007.6,level
2017-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2456284.6,level
2018-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2717499.1,level
2019-12-31,national,A,"Сельское, лесное и рыбное хозяйство",3105560.7,level
2020-12-31,national,A,"Сельское, лесное и рыбное хозяйство",3808889.1,level
2021-12-31,national,A,"Сельское, лесное и рыбное хозяйство",4222766.5,level
2022-12-31,national,A,"Сельское, лесное и рыбное хозяйство",5444727.3,level
2023-12-31,national,A,"Сельское, лесное и рыбное хозяйство",4568671.3,level
2024-12-31,national,A,"Сельское, лесное и рыбное хозяйство",5306833.1,level
2025-12-31,national,A,"Сельское, лесное и рыбное хозяйство",6154545.0,level
2010-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,4249267.9,level
2011-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,5003252.9,level
2012-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,5288740.5,level
2013-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,5477694.0,level
2014-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,5982772.0,level
2015-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,5170567.7,level
2016-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,6047727.3,level
2017-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,7421694.4,level
2018-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,9204650.0,level
2019-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,10032109.5,level
2020-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,8596835.5,level
2021-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,11886878.4,level
