date,region,item_code,item_name,value,transformation
2010-01-01,national,A,"Сельское, лесное и рыбное хозяйство",90224.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-04-01,national,A,"Сельское, лесное и рыбное хозяйство",226705.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-07-01,national,A,"Сельское, лесное и рыбное хозяйство",633523.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-10-01,national,A,"Сельское, лесное и рыбное хозяйство",983994.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-01-01,national,A,"Сельское, лесное и рыбное хозяйство",115401.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-04-01,national,A,"Сельское, лесное и рыбное хозяйство",253450.7,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-07-01,national,A,"Сельское, лесное и рыбное хозяйство",750606.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-10-01,national,A,"Сельское, лесное и рыбное хозяйство",1409038.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-01-01,national,A,"Сельское, лесное и рыбное хозяйство",133618.7,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-04-01,national,A,"Сельское, лесное и рыбное хозяйство",292927.3,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-07-01,national,A,"Сельское, лесное и рыбное хозяйство",841850.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-10-01,national,A,"Сельское, лесное и рыбное хозяйство",1330033.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-01-01,national,A,"Сельское, лесное и рыбное хозяйство",134647.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-04-01,national,A,"Сельское, лесное и рыбное хозяйство",335954.4,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-07-01,national,A,"Сельское, лесное и рыбное хозяйство",1078912.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-10-01,national,A,"Сельское, лесное и рыбное хозяйство",1621232.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-01-01,national,A,"Сельское, лесное и рыбное хозяйство",161844.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-04-01,national,A,"Сельское, лесное и рыбное хозяйство",393494.3,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-07-01,national,A,"Сельское, лесное и рыбное хозяйство",1153408.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-10-01,national,A,"Сельское, лесное и рыбное хозяйство",1717786.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2015-01-01,national,A,"Сельское, лесное и рыбное хозяйство",179588.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2015-04-01,national,A,"Сельское, лесное и рыбное хозяйство",435168.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2015-07-01,national,A,"Сельское, лесное и рыбное хозяйство",1319982.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2015-10-01,national,A,"Сельское, лесное и рыбное хозяйство",1925866.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2016-01-01,national,A,"Сельское, лесное и рыбное хозяйство",193406.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2016-04-01,national,A,"Сельское, лесное и рыбное хозяйство",480748.7,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2016-07-01,national,A,"Сельское, лесное и рыбное хозяйство",1456636.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2016-10-01,national,A,"Сельское, лесное и рыбное хозяйство",2140007.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2017-01-01,national,A,"Сельское, лесное и рыбное хозяйство",214414.1,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2017-04-01,national,A,"Сельское, лесное и рыбное хозяйство",522147.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2017-07-01,national,A,"Сельское, лесное и рыбное хозяйство",1568223.1,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2017-10-01,national,A,"Сельское, лесное и рыбное хозяйство",2456284.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2018-01-01,national,A,"Сельское, лесное и рыбное хозяйство",238092.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2018-04-01,national,A,"Сельское, лесное и рыбное хозяйство",606063.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2018-07-01,national,A,"Сельское, лесное и рыбное хозяйство",1658959.4,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2018-10-01,national,A,"Сельское, лесное и рыбное хозяйство",2717499.1,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2019-01-01,national,A,"Сельское, лесное и рыбное хозяйство",274580.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2019-04-01,national,A,"Сельское, лесное и рыбное хозяйство",678911.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2019-07-01,national,A,"Сельское, лесное и рыбное хозяйство",1897182.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2019-10-01,national,A,"Сельское, лесное и рыбное хозяйство",3105560.7,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2020-01-01,national,A,"Сельское, лесное и рыбное хозяйство",336754.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2020-04-01,national,A,"Сельское, лесное и рыбное хозяйство",803610.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2020-07-01,national,A,"Сельское, лесное и рыбное хозяйство",2327245.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2020-10-01,national,A,"Сельское, лесное и рыбное хозяйство",3808889.1,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2021-01-01,national,A,"Сельское, лесное и рыбное хозяйство",397251.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2021-04-01,national,A,"Сельское, лесное и рыбное хозяйство",922684.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2021-07-01,national,A,"Сельское, лесное и рыбное хозяйство",2709556.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2021-10-01,national,A,"Сельское, лесное и рыбное хозяйство",4222766.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
