date,region,item_code,item_name,value,transformation
2013-01-01,national,05,Добыча угля и лигнита,37174.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-04-01,national,05,Добыча угля и лигнита,64530.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-07-01,national,05,Добыча угля и лигнита,107517.79999999999,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-10-01,national,05,Добыча угля и лигнита,143961.59999999998,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-01-01,national,05,Добыча угля и лигнита,36834.600000000006,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-04-01,national,05,Добыча угля и лигнита,65760.7,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-07-01,national,05,Добыча угля и лигнита,112423.7,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-10-01,national,05,Добыча угля и лигнита,154057.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2015-01-01,national,05,Добыча угля и лигнита,37191.700000000004,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2015-04-01,national,05,Добыча угля и лигнита,65897.59999999999,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2015-07-01,national,05,Добыча угля и лигнита,111727.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2015-10-01,national,05,Добыча угля и лигнита,155283.1,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2016-01-01,national,05,Добыча угля и лигнита,38255.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2016-04-01,national,05,Добыча угля и лигнита,65950.4,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2016-07-01,national,05,Добыча угля и лигнита,127464.49999999999,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2016-10-01,national,05,Добыча угля и лигнита,167421.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2017-01-01,national,05,Добыча угля и лигнита,46095.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2017-04-01,national,05,Добыча угля и лигнита,83229.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2017-07-01,national,05,Добыча угля и лигнита,147418.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2017-10-01,national,05,Добыча угля и лигнита,192471.10000000003,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2018-01-01,national,05,Добыча угля и лигнита,49530.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2018-04-01,national,05,Добыча угля и лигнита,96125.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2018-07-01,national,05,Добыча угля и лигнита,148596.09999999998,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2018-10-01,national,05,Добыча угля и лигнита,231795.19999999998,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2019-01-01,national,05,Добыча угля и лигнита,55056.19999999999,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2019-04-01,national,05,Добыча угля и лигнита,108786.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2019-07-01,national,05,Добыча угля и лигнита,165210.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2019-10-01,national,05,Добыча угля и лигнита,279140.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
