date,region,item_code,item_name,value,transformation
2010-12-31,national,A,"Сельское, лесное и рыбное хозяйство",921019.8,level
2011-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1271220.0,level
2012-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1261133.4,level
2013-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1551905.7,level
2014-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1637004.0,level
2015-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1841812.5,level
2016-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2044894.9,level
2017-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2411129.7,level
2018-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2669022.3,level
2019-12-31,national,A,"Сельское, лесное и рыбное хозяйство",3048495.1,level
2020-12-31,national,A,"Сельское, лесное и рыбное хозяйство",3747494.8,level
2021-12-31,national,A,"Сельское, лесное и рыбное хозяйство",4146159.9,level
2022-12-31,national,A,"Сельское, лесное и рыбное хозяйство",5341776.7,level
2023-12-31,national,A,"Сельское, лесное и рыбное хозяйство",4541878.4,level
2024-12-31,national,A,"Сельское, лесное и рыбное хозяйство",5271581.9,level
2025-12-31,national,A,"Сельское, лесное и рыбное хозяйство",6129528.2,level
2010-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,3216695.8,level
2011-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,3807475.5,level
2012-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,4030020.3,level
2013-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,4097315.1,level
2014-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,4391354.6,level
2015-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,3665932.5,level
2016-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,4239456.8,level
2017-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,5165499.3,level
2018-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,6443255.0,level
2019-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,7213086.7,level
2020-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,5746984.5,level
2021-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,8427796.8,level
2022-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,11225634.8,level
2023-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,11116445.0,level
2024-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,12069195.7,level
2025-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,14554197.2,level
2010-12-31,national,C,Обрабатывающая промышленность,2026079.7,level
2011-12-31,national,C,Обрабатывающая промышленность,2579532.0,level
2012-12-31,national,C,Обрабатывающая промышленность,2825190.2,level
2013-12-31,national,C,Обрабатывающая промышленность,3145985.1,level
2014-12-31,national,C,Обрабатывающая промышленность,3288095.8,level
2015-12-31,national,C,Обрабатывающая промышленность,3380928.7,level
2016-12-31,national,C,Обрабатывающая промышленность,4148241.9,level
2017-12-31,national,C,Обрабатывающая промышленность,4926342.2,level
2018-12-31,national,C,Обрабатывающая промышленность,5624283.7,level
2019-12-31,national,C,Обрабатывающая промышленность,6413192.2,level
2020-12-31,national,C,Обрабатывающая промышленность,7446080.9,level
2021-12-31,national,C,Обрабатывающая промышленность,9254391.4,level
2022-12-31,national,C,Обрабатывающая промышленность,11201664.7,level
2023-12-31,national,C,Обрабатывающая промышленность,12641521.8,level
2024-12-31,national,C,Обрабатывающая промышленность,14611422.9,level
2025-12-31,national,C,Обрабатывающая промышленность,17825238.8,level
2010-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",361893.7,level
2011-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",434871.8,level
2012-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",470910.7,level
2013-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",533892.2,level
2014-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",582701.7,level
2015-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",627004.8,level
2016-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",703022.3,level
2017-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",824747.7,level
2018-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",895740.5,level
2019-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",882564.5,level
2020-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",960912.7,level
2021-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",1181462.2,level
2022-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",1192004.3,level
2023-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",1157835.8,level
2024-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",1381823.1,level
2025-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",1373910.5,level
