date,region,item_code,item_name,value,transformation
2008-12-31,national,D01_MONEY_EXPENDITURE,D01: money expenditure,7771425.0,level
2004-12-31,national,D01_MONEY_EXPENDITURE,D01: money expenditure,2907648.0,level
2010-12-31,national,D01_MONEY_EXPENDITURE,D01: money expenditure,10228974.0,level
2002-12-31,national,D01_MONEY_EXPENDITURE,D01: money expenditure,1987029.0,level
2006-12-31,national,D01_MONEY_EXPENDITURE,D01: money expenditure,4533136.0,level
2005-12-31,national,D01_MONEY_EXPENDITURE,D01: money expenditure,3486495.0,level
2009-12-31,national,D01_MONEY_EXPENDITURE,D01: money expenditure,9068952.0,level
2007-12-31,national,D01_MONEY_EXPENDITURE,D01: money expenditure,5916625.0,level
2003-12-31,national,D01_MONEY_EXPENDITURE,D01: money expenditure,2506942.0,level
2001-12-31,national,D01_MONEY_EXPENDITURE,D01: money expenditure,1570083.0,level
2017-12-31,national,D01_MONEY_EXPENDITURE,D01: money expenditure,1843934.0,level
2018-12-31,national,D01_MONEY_EXPENDITURE,D01: money expenditure,2025306.0,level
2015-12-31,national,D01_MONEY_EXPENDITURE,D01: money expenditure,1540186.0,level
2012-12-31,national,D01_MONEY_EXPENDITURE,D01: money expenditure,1205565.0,level
2014-12-31,national,D01_MONEY_EXPENDITURE,D01: money expenditure,1469278.0,level
2013-12-31,national,D01_MONEY_EXPENDITURE,D01: money expenditure,1369821.0,level
2011-12-31,national,D01_MONEY_EXPENDITURE,D01: money expenditure,1067474.0,level
2016-12-31,national,D01_MONEY_EXPENDITURE,D01: money expenditure,1667551.0,level
2022-12-31,national,D01_MONEY_EXPENDITURE,D01: money expenditure,3270052.0,level
2020-12-31,national,D01_MONEY_EXPENDITURE,D01: money expenditure,2445025.0,level
2023-12-31,national,D01_MONEY_EXPENDITURE,D01: money expenditure,3655798.0,level
2021-12-31,national,D01_MONEY_EXPENDITURE,D01: money expenditure,2814008.0,level
2024-12-31,national,D01_MONEY_EXPENDITURE,D01: money expenditure,3906639.0,level
2010-12-31,national,D10_MONEY_EXPENDITURE,D10: money expenditure,64149322.0,level
2002-12-31,national,D10_MONEY_EXPENDITURE,D10: money expenditure,18632940.0,level
2009-12-31,national,D10_MONEY_EXPENDITURE,D10: money expenditure,51830443.0,level
2006-12-31,national,D10_MONEY_EXPENDITURE,D10: money expenditure,38384868.0,level
2005-12-31,national,D10_MONEY_EXPENDITURE,D10: money expenditure,27295368.0,level
2001-12-31,national,D10_MONEY_EXPENDITURE,D10: money expenditure,16551368.0,level
2007-12-31,national,D10_MONEY_EXPENDITURE,D10: money expenditure,48547458.0,level
2003-12-31,national,D10_MONEY_EXPENDITURE,D10: money expenditure,20536351.0,level
2008-12-31,national,D10_MONEY_EXPENDITURE,D10: money expenditure,53749139.0,level
2004-12-31,national,D10_MONEY_EXPENDITURE,D10: money expenditure,23289877.0,level
2017-12-31,national,D10_MONEY_EXPENDITURE,D10: money expenditure,11154095.0,level
2018-12-31,national,D10_MONEY_EXPENDITURE,D10: money expenditure,12482800.0,level
2015-12-31,national,D10_MONEY_EXPENDITURE,D10: money expenditure,9033734.0,level
2012-12-31,national,D10_MONEY_EXPENDITURE,D10: money expenditure,7449806.0,level
2014-12-31,national,D10_MONEY_EXPENDITURE,D10: money expenditure,8705052.0,level
2013-12-31,national,D10_MONEY_EXPENDITURE,D10: money expenditure,8113416.0,level
2011-12-31,national,D10_MONEY_EXPENDITURE,D10: money expenditure,6964912.0,level
2016-12-31,national,D10_MONEY_EXPENDITURE,D10: money expenditure,9799168.0,level
2022-12-31,national,D10_MONEY_EXPENDITURE,D10: money expenditure,18843653.0,level
2020-12-31,national,D10_MONEY_EXPENDITURE,D10: money expenditure,14668879.0,level
2023-12-31,national,D10_MONEY_EXPENDITURE,D10: money expenditure,21892924.0,level
2019-12-31,national,D10_MONEY_EXPENDITURE,D10: money expenditure,13601107.0,level
