date,region,item_code,item_name,value,transformation
2010-01-01,national,A,"Сельское, лесное и рыбное хозяйство",6999.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-04-01,national,A,"Сельское, лесное и рыбное хозяйство",21004.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-07-01,national,A,"Сельское, лесное и рыбное хозяйство",70623.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-10-01,national,A,"Сельское, лесное и рыбное хозяйство",110074.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-01-01,national,A,"Сельское, лесное и рыбное хозяйство",9099.3,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-04-01,national,A,"Сельское, лесное и рыбное хозяйство",23384.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-07-01,national,A,"Сельское, лесное и рыбное хозяйство",86614.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-10-01,national,A,"Сельское, лесное и рыбное хозяйство",172115.1,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-01-01,national,A,"Сельское, лесное и рыбное хозяйство",10385.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-04-01,national,A,"Сельское, лесное и рыбное хозяйство",26344.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-07-01,national,A,"Сельское, лесное и рыбное хозяйство",92936.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-10-01,national,A,"Сельское, лесное и рыбное хозяйство",138943.4,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-01-01,national,A,"Сельское, лесное и рыбное хозяйство",10807.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-04-01,national,A,"Сельское, лесное и рыбное хозяйство",39306.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-07-01,national,A,"Сельское, лесное и рыбное хозяйство",119077.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-10-01,national,A,"Сельское, лесное и рыбное хозяйство",179603.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-01-01,national,A,"Сельское, лесное и рыбное хозяйство",12646.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-04-01,national,A,"Сельское, лесное и рыбное хозяйство",45434.4,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-07-01,national,A,"Сельское, лесное и рыбное хозяйство",126722.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-10-01,national,A,"Сельское, лесное и рыбное хозяйство",202275.3,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2015-01-01,national,A,"Сельское, лесное и рыбное хозяйство",15736.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2015-04-01,national,A,"Сельское, лесное и рыбное хозяйство",46625.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2015-07-01,national,A,"Сельское, лесное и рыбное хозяйство",145803.7,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2015-10-01,national,A,"Сельское, лесное и рыбное хозяйство",246690.4,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2016-01-01,national,A,"Сельское, лесное и рыбное хозяйство",16426.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2016-04-01,national,A,"Сельское, лесное и рыбное хозяйство",51742.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2016-07-01,national,A,"Сельское, лесное и рыбное хозяйство",162991.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2016-10-01,national,A,"Сельское, лесное и рыбное хозяйство",245184.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2017-01-01,national,A,"Сельское, лесное и рыбное хозяйство",22999.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2017-04-01,national,A,"Сельское, лесное и рыбное хозяйство",56723.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2017-07-01,national,A,"Сельское, лесное и рыбное хозяйство",175883.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2017-10-01,national,A,"Сельское, лесное и рыбное хозяйство",290751.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2018-01-01,national,A,"Сельское, лесное и рыбное хозяйство",25358.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2018-04-01,national,A,"Сельское, лесное и рыбное хозяйство",65317.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2018-07-01,national,A,"Сельское, лесное и рыбное хозяйство",185757.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2018-10-01,national,A,"Сельское, лесное и рыбное хозяйство",295839.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2019-01-01,national,A,"Сельское, лесное и рыбное хозяйство",28977.4,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2019-04-01,national,A,"Сельское, лесное и рыбное хозяйство",72790.4,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2019-07-01,national,A,"Сельское, лесное и рыбное хозяйство",210834.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2019-10-01,national,A,"Сельское, лесное и рыбное хозяйство",357777.7,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2020-01-01,national,A,"Сельское, лесное и рыбное хозяйство",35202.7,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2020-04-01,national,A,"Сельское, лесное и рыбное хозяйство",91853.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2020-07-01,national,A,"Сельское, лесное и рыбное хозяйство",257857.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2020-10-01,national,A,"Сельское, лесное и рыбное хозяйство",429425.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2021-01-01,national,A,"Сельское, лесное и рыбное хозяйство",42282.4,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
