date,region,item_code,item_name,value,transformation
2010-01-01,national,A,"Сельское, лесное и рыбное хозяйство",28752.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-04-01,national,A,"Сельское, лесное и рыбное хозяйство",83330.3,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-07-01,national,A,"Сельское, лесное и рыбное хозяйство",140605.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-10-01,national,A,"Сельское, лесное и рыбное хозяйство",229638.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-01-01,national,A,"Сельское, лесное и рыбное хозяйство",35702.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-04-01,national,A,"Сельское, лесное и рыбное хозяйство",92066.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-07-01,national,A,"Сельское, лесное и рыбное хозяйство",182127.4,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-10-01,national,A,"Сельское, лесное и рыбное хозяйство",303371.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-01-01,national,A,"Сельское, лесное и рыбное хозяйство",43737.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-04-01,national,A,"Сельское, лесное и рыбное хозяйство",105045.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-07-01,national,A,"Сельское, лесное и рыбное хозяйство",216931.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-10-01,national,A,"Сельское, лесное и рыбное хозяйство",304834.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-01-01,national,A,"Сельское, лесное и рыбное хозяйство",48642.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-04-01,national,A,"Сельское, лесное и рыбное хозяйство",120788.4,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-07-01,national,A,"Сельское, лесное и рыбное хозяйство",274565.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-10-01,national,A,"Сельское, лесное и рыбное хозяйство",375328.1,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
