date,region,item_code,item_name,value,transformation
2022-12-31,national,D01,"1-я децильная группа (среднемесячный доход на душу, тенге)",33462.0,level
2023-12-31,national,D01,"1-я децильная группа (среднемесячный доход на душу, тенге)",37175.0,level
2024-12-31,national,D01,"1-я децильная группа (среднемесячный доход на душу, тенге)",39657.0,level
2025-12-31,national,D01,"1-я децильная группа (среднемесячный доход на душу, тенге)",44360.0,level
2022-12-31,national,D02,"2-я децильная группа (среднемесячный доход на душу, тенге)",42601.0,level
2023-12-31,national,D02,"2-я децильная группа (среднемесячный доход на душу, тенге)",48295.0,level
2024-12-31,national,D02,"2-я децильная группа (среднемесячный доход на душу, тенге)",51822.0,level
2025-12-31,national,D02,"2-я децильная группа (среднемесячный доход на душу, тенге)",57689.0,level
2022-12-31,national,D03,"3-я децильная группа (среднемесячный доход на душу, тенге)",47776.0,level
2023-12-31,national,D03,"3-я децильная группа (среднемесячный доход на душу, тенге)",54868.0,level
2024-12-31,national,D03,"3-я децильная группа (среднемесячный доход на душу, тенге)",58984.0,level
2025-12-31,national,D03,"3-я децильная группа (среднемесячный доход на душу, тенге)",65480.0,level
2022-12-31,national,D04,"4-я децильная группа (среднемесячный доход на душу, тенге)",53291.0,level
2023-12-31,national,D04,"4-я децильная группа (среднемесячный доход на душу, тенге)",61734.0,level
2024-12-31,national,D04,"4-я децильная группа (среднемесячный доход на душу, тенге)",66559.0,level
2025-12-31,national,D04,"4-я децильная группа (среднемесячный доход на душу, тенге)",73614.0,level
2022-12-31,national,D05,"5-я децильная группа (среднемесячный доход на душу, тенге)",59645.0,level
2023-12-31,national,D05,"5-я децильная группа (среднемесячный доход на душу, тенге)",69500.0,level
2024-12-31,national,D05,"5-я децильная группа (среднемесячный доход на душу, тенге)",74868.0,level
2025-12-31,national,D05,"5-я децильная группа (среднемесячный доход на душу, тенге)",82911.0,level
2022-12-31,national,D06,"6-я децильная группа (среднемесячный доход на душу, тенге)",67388.0,level
2023-12-31,national,D06,"6-я децильная группа (среднемесячный доход на душу, тенге)",78796.0,level
2024-12-31,national,D06,"6-я децильная группа (среднемесячный доход на душу, тенге)",85287.0,level
2025-12-31,national,D06,"6-я децильная группа (среднемесячный доход на душу, тенге)",94372.0,level
2022-12-31,national,D07,"7-я децильная группа (среднемесячный доход на душу, тенге)",77478.0,level
2023-12-31,national,D07,"7-я децильная группа (среднемесячный доход на душу, тенге)",90948.0,level
2024-12-31,national,D07,"7-я децильная группа (среднемесячный доход на душу, тенге)",98877.0,level
2025-12-31,national,D07,"7-я децильная группа (среднемесячный доход на душу, тенге)",109040.0,level
2022-12-31,national,D08,"8-я децильная группа (среднемесячный доход на душу, тенге)",91514.0,level
2023-12-31,national,D08,"8-я децильная группа (среднемесячный доход на душу, тенге)",107674.0,level
2024-12-31,national,D08,"8-я децильная группа (среднемесячный доход на душу, тенге)",116964.0,level
2025-12-31,national,D08,"8-я децильная группа (среднемесячный доход на душу, тенге)",129164.0,level
2022-12-31,national,D09,"9-я децильная группа (среднемесячный доход на душу, тенге)",114177.0,level
2023-12-31,national,D09,"9-я децильная группа (среднемесячный доход на душу, тенге)",133498.0,level
2024-12-31,national,D09,"9-я децильная группа (среднемесячный доход на душу, тенге)",146126.0,level
2025-12-31,national,D09,"9-я децильная группа (среднемесячный доход на душу, тенге)",161722.0,level
2022-12-31,national,D10,"10-я децильная группа (среднемесячный доход на душу, тенге)",191695.0,level
2023-12-31,national,D10,"10-я децильная группа (среднемесячный доход на душу, тенге)",222056.0,level
2024-12-31,national,D10,"10-я децильная группа (среднемесячный доход на душу, тенге)",246513.0,level
2025-12-31,national,D10,"10-я децильная группа (среднемесячный доход на душу, тенге)",265626.0,level
