date,region,item_code,item_name,value,transformation
2010-01-01,national,A,"Сельское, лесное и рыбное хозяйство",218.7,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-04-01,national,A,"Сельское, лесное и рыбное хозяйство",451.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-07-01,national,A,"Сельское, лесное и рыбное хозяйство",706.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-10-01,national,A,"Сельское, лесное и рыбное хозяйство",1033.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-01-01,national,A,"Сельское, лесное и рыбное хозяйство",265.4,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-04-01,national,A,"Сельское, лесное и рыбное хозяйство",569.1,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-07-01,national,A,"Сельское, лесное и рыбное хозяйство",849.4,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-10-01,national,A,"Сельское, лесное и рыбное хозяйство",1117.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-01-01,national,A,"Сельское, лесное и рыбное хозяйство",260.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-04-01,national,A,"Сельское, лесное и рыбное хозяйство",639.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-07-01,national,A,"Сельское, лесное и рыбное хозяйство",936.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-10-01,national,A,"Сельское, лесное и рыбное хозяйство",1276.7,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-01-01,national,A,"Сельское, лесное и рыбное хозяйство",323.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-04-01,national,A,"Сельское, лесное и рыбное хозяйство",714.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-07-01,national,A,"Сельское, лесное и рыбное хозяйство",1184.1,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-10-01,national,A,"Сельское, лесное и рыбное хозяйство",1650.1,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-01-01,national,A,"Сельское, лесное и рыбное хозяйство",447.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-04-01,national,A,"Сельское, лесное и рыбное хозяйство",840.7,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-07-01,national,A,"Сельское, лесное и рыбное хозяйство",1230.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-10-01,national,A,"Сельское, лесное и рыбное хозяйство",1822.7,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2015-01-01,national,A,"Сельское, лесное и рыбное хозяйство",436.4,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2015-04-01,national,A,"Сельское, лесное и рыбное хозяйство",846.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2015-07-01,national,A,"Сельское, лесное и рыбное хозяйство",1252.4,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2015-10-01,national,A,"Сельское, лесное и рыбное хозяйство",1842.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2016-01-01,national,A,"Сельское, лесное и рыбное хозяйство",607.3,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2016-04-01,national,A,"Сельское, лесное и рыбное хозяйство",1434.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2016-07-01,national,A,"Сельское, лесное и рыбное хозяйство",2065.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2016-10-01,national,A,"Сельское, лесное и рыбное хозяйство",2743.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2017-01-01,national,A,"Сельское, лесное и рыбное хозяйство",643.3,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2017-04-01,national,A,"Сельское, лесное и рыбное хозяйство",1196.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2017-07-01,national,A,"Сельское, лесное и рыбное хозяйство",1733.1,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2017-10-01,national,A,"Сельское, лесное и рыбное хозяйство",2345.7,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2018-01-01,national,A,"Сельское, лесное и рыбное хозяйство",569.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2018-04-01,national,A,"Сельское, лесное и рыбное хозяйство",1149.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2018-07-01,national,A,"Сельское, лесное и рыбное хозяйство",1731.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2018-10-01,national,A,"Сельское, лесное и рыбное хозяйство",2393.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2019-01-01,national,A,"Сельское, лесное и рыбное хозяйство",591.4,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2019-04-01,national,A,"Сельское, лесное и рыбное хозяйство",1211.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2019-07-01,national,A,"Сельское, лесное и рыбное хозяйство",1863.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2019-10-01,national,A,"Сельское, лесное и рыбное хозяйство",2669.1,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2020-01-01,national,A,"Сельское, лесное и рыбное хозяйство",573.7,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2020-04-01,national,A,"Сельское, лесное и рыбное хозяйство",1167.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2020-07-01,national,A,"Сельское, лесное и рыбное хозяйство",1792.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2020-10-01,national,A,"Сельское, лесное и рыбное хозяйство",4228.1,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2021-01-01,national,A,"Сельское, лесное и рыбное хозяйство",688.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2021-04-01,national,A,"Сельское, лесное и рыбное хозяйство",1404.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2021-07-01,national,A,"Сельское, лесное и рыбное хозяйство",2023.3,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2021-10-01,national,A,"Сельское, лесное и рыбное хозяйство",12850.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2022-01-01,national,A,"Сельское, лесное и рыбное хозяйство",2940.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2022-04-01,national,A,"Сельское, лесное и рыбное хозяйство",6064.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2022-07-01,national,A,"Сельское, лесное и рыбное хозяйство",10007.3,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2022-10-01,national,A,"Сельское, лесное и рыбное хозяйство",14131.1,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2023-01-01,national,A,"Сельское, лесное и рыбное хозяйство",3574.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2023-04-01,national,A,"Сельское, лесное и рыбное хозяйство",8018.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2023-07-01,national,A,"Сельское, лесное и рыбное хозяйство",12165.7,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2023-10-01,national,A,"Сельское, лесное и рыбное хозяйство",-288593.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2024-01-01,national,A,"Сельское, лесное и рыбное хозяйство",4113.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2024-04-01,national,A,"Сельское, лесное и рыбное хозяйство",9656.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2024-07-01,national,A,"Сельское, лесное и рыбное хозяйство",17307.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2024-10-01,national,A,"Сельское, лесное и рыбное хозяйство",-290977.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2025-01-01,national,A,"Сельское, лесное и рыбное хозяйство",4474.3,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2025-04-01,national,A,"Сельское, лесное и рыбное хозяйство",10143.3,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2025-07-01,national,A,"Сельское, лесное и рыбное хозяйство",18855.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2025-10-01,national,A,"Сельское, лесное и рыбное хозяйство",-257827.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2026-01-01,national,A,"Сельское, лесное и рыбное хозяйство",4844.3,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-01-01,national,B,Горнодобывающая промышленность и разработка карьеров,33677.4,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-04-01,national,B,Горнодобывающая промышленность и разработка карьеров,69526.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-07-01,national,B,Горнодобывающая промышленность и разработка карьеров,107669.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-10-01,national,B,Горнодобывающая промышленность и разработка карьеров,157581.3,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-01-01,national,B,Горнодобывающая промышленность и разработка карьеров,37982.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-04-01,national,B,Горнодобывающая промышленность и разработка карьеров,81421.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-07-01,national,B,Горнодобывающая промышленность и разработка карьеров,121580.1,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-10-01,national,B,Горнодобывающая промышленность и разработка карьеров,159924.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-01-01,national,B,Горнодобывающая промышленность и разработка карьеров,41255.7,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-04-01,national,B,Горнодобывающая промышленность и разработка карьеров,93518.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-07-01,national,B,Горнодобывающая промышленность и разработка карьеров,134102.3,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-10-01,national,B,Горнодобывающая промышленность и разработка карьеров,182757.1,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-01-01,national,B,Горнодобывающая промышленность и разработка карьеров,45569.4,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-04-01,national,B,Горнодобывающая промышленность и разработка карьеров,104468.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-07-01,national,B,Горнодобывающая промышленность и разработка карьеров,169510.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-10-01,national,B,Горнодобывающая промышленность и разработка карьеров,221756.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-01-01,national,B,Горнодобывающая промышленность и разработка карьеров,62975.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-04-01,national,B,Горнодобывающая промышленность и разработка карьеров,122831.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
