date,region,item_code,item_name,value,transformation
2010-01-01,national,A,"Сельское, лесное и рыбное хозяйство",54253.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-04-01,national,A,"Сельское, лесное и рыбное хозяйство",121920.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-07-01,national,A,"Сельское, лесное и рыбное хозяйство",421587.7,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2010-10-01,national,A,"Сельское, лесное и рыбное хозяйство",643247.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-01-01,national,A,"Сельское, лесное и рыбное хозяйство",70333.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-04-01,national,A,"Сельское, лесное и рыбное хозяйство",137430.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-07-01,national,A,"Сельское, лесное и рыбное хозяйство",481014.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2011-10-01,national,A,"Сельское, лесное и рыбное хозяйство",932434.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-01-01,national,A,"Сельское, лесное и рыбное хозяйство",79235.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-04-01,national,A,"Сельское, лесное и рыбное хозяйство",160896.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-07-01,national,A,"Сельское, лесное и рыбное хозяйство",531045.3,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2012-10-01,national,A,"Сельское, лесное и рыбное хозяйство",884978.7,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-01-01,national,A,"Сельское, лесное и рыбное хозяйство",74873.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-04-01,national,A,"Сельское, лесное и рыбное хозяйство",175144.4,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-07-01,national,A,"Сельское, лесное и рыбное хозяйство",684085.3,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2013-10-01,national,A,"Сельское, лесное и рыбное хозяйство",1064650.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-01-01,national,A,"Сельское, лесное и рыбное хозяйство",96278.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-04-01,national,A,"Сельское, лесное и рыбное хозяйство",217023.7,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-07-01,national,A,"Сельское, лесное и рыбное хозяйство",742415.1,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2014-10-01,national,A,"Сельское, лесное и рыбное хозяйство",1090691.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2015-01-01,national,A,"Сельское, лесное и рыбное хозяйство",103910.3,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2015-04-01,national,A,"Сельское, лесное и рыбное хозяйство",236440.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2015-07-01,national,A,"Сельское, лесное и рыбное хозяйство",846675.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2015-10-01,national,A,"Сельское, лесное и рыбное хозяйство",1198642.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2016-01-01,national,A,"Сельское, лесное и рыбное хозяйство",114946.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2016-04-01,national,A,"Сельское, лесное и рыбное хозяйство",270212.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2016-07-01,national,A,"Сельское, лесное и рыбное хозяйство",948139.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2016-10-01,national,A,"Сельское, лесное и рыбное хозяйство",1419199.3,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2017-01-01,national,A,"Сельское, лесное и рыбное хозяйство",122223.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2017-04-01,national,A,"Сельское, лесное и рыбное хозяйство",292940.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2017-07-01,national,A,"Сельское, лесное и рыбное хозяйство",1003395.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2017-10-01,national,A,"Сельское, лесное и рыбное хозяйство",1558451.4,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2018-01-01,national,A,"Сельское, лесное и рыбное хозяйство",130930.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2018-04-01,national,A,"Сельское, лесное и рыбное хозяйство",335958.5,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2018-07-01,national,A,"Сельское, лесное и рыбное хозяйство",1050549.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2018-10-01,national,A,"Сельское, лесное и рыбное хозяйство",1749562.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2019-01-01,national,A,"Сельское, лесное и рыбное хозяйство",150866.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2019-04-01,national,A,"Сельское, лесное и рыбное хозяйство",371384.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2019-07-01,national,A,"Сельское, лесное и рыбное хозяйство",1202362.3,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2019-10-01,national,A,"Сельское, лесное и рыбное хозяйство",1975215.3,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2020-01-01,national,A,"Сельское, лесное и рыбное хозяйство",196253.3,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2020-04-01,national,A,"Сельское, лесное и рыбное хозяйство",451289.4,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2020-07-01,national,A,"Сельское, лесное и рыбное хозяйство",1518567.3,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2020-10-01,national,A,"Сельское, лесное и рыбное хозяйство",2522874.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2021-01-01,national,A,"Сельское, лесное и рыбное хозяйство",232686.4,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2021-04-01,national,A,"Сельское, лесное и рыбное хозяйство",510012.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2021-07-01,national,A,"Сельское, лесное и рыбное хозяйство",1767789.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2021-10-01,national,A,"Сельское, лесное и рыбное хозяйство",2782452.0,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2022-01-01,national,A,"Сельское, лесное и рыбное хозяйство",273046.7,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2022-04-01,national,A,"Сельское, лесное и рыбное хозяйство",616792.7,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2022-07-01,national,A,"Сельское, лесное и рыбное хозяйство",2217372.9,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2022-10-01,national,A,"Сельское, лесное и рыбное хозяйство",3572205.6,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2023-01-01,national,A,"Сельское, лесное и рыбное хозяйство",316373.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2023-04-01,national,A,"Сельское, лесное и рыбное хозяйство",709609.8,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2023-07-01,national,A,"Сельское, лесное и рыбное хозяйство",2002760.2,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
2023-10-01,national,A,"Сельское, лесное и рыбное хозяйство",3298401.4,"level (year-to-date cumulative, as published -- not decumulated to discrete quarters)"
